=== micron memory benchmark ===
buffers: 16 MiB src + 16 MiB dst, 64-byte aligned
warmup 8 reps; 7 measurements per cell; median reported
perf events: cycles + instructions + branches + branch-misses (bbench 4-event group)

[memcpy] dst=src+1MiB, hot cache, dst aligned 64, src aligned 64
   size(B)  routine               bytes/op  cyc/byte       IPC  lat(cyc)    bmiss%
----------------------------------------------------------------------------------
        16  mc::memcpy                  16      0.35      2.87         5      0.00
        16  simd::memcpy128             16      0.32      3.94         5      0.00
        16  simd::amemcpy128            16      0.32      3.96         5      0.00
        64  mc::memcpy                  64      0.10      4.50         6      0.00
        64  simd::memcpy128             64      0.23      2.53        15      0.00
        64  simd::memcpy256             64      0.10      4.29         6      0.00
        64  simd::amemcpy128            64      0.15      3.96         9      0.00
        64  simd::amemcpy256            64      0.10      4.17         6      0.00
       256  mc::memcpy                 256      0.07      3.37        19      0.00
       256  simd::memcpy128            256      0.15      2.80        39      0.00
       256  simd::memcpy256            256      0.08      3.20        19      0.00
       256  simd::amemcpy128           256      0.10      4.51        24      0.02
       256  simd::amemcpy256           256      0.06      3.75        16      0.01
      1024  mc::memcpy                1024      0.07      3.10        67      0.02
      1024  simd::memcpy128           1024      0.13      3.06       130      1.49
      1024  simd::memcpy256           1024      0.07      3.05        67      0.00
      1024  simd::amemcpy128          1024      0.10      3.84       103      1.04
      1024  simd::amemcpy256          1024      0.05      3.80        54      0.00
      1024  simd::ntmemcpy128         1024      0.36      1.08       369      0.36
      1024  simd::ntmemcpy256         1024      0.36      0.56       366      0.00
      4096  mc::memcpy                4096      0.05      3.71       211      0.76
      4096  simd::memcpy128           4096      0.09      4.16       373      0.39
      4096  simd::memcpy256           4096      0.05      3.73       210      0.76
      4096  simd::amemcpy128          4096      0.09      4.31       359      0.39
      4096  simd::amemcpy256          4096      0.05      4.10       190      0.76
      4096  simd::ntmemcpy128         4096      0.22      1.72       900      0.39
      4096  simd::ntmemcpy256         4096      0.22      0.87       897      0.76
     65536  mc::memcpy               65536      0.13      1.49      8271      0.05
     65536  simd::memcpy128          65536      0.13      2.95      8339      0.02
