=== MICRON io_v3 ECHO/PRINTK FORMAT -> memory sink (median-of-5) ===
# 2026-08-22, x86-64-v3, taskset -c 2, --perf --fp --no-ssp --no-lto
type                  op            elems       bytes   ns/op   GiB/s   x-raw
--------------------------------------------------------------------------------
int                   raw(put)         1             6        3.81        1.47      1.00
int                   format           1             6       13.80        0.40      3.62
f64(zmij)             raw(put)         1            16        2.92        5.10      1.00
f64(zmij)             format           1            16       25.85        0.58      8.85
string                raw(put)         1            19        2.96        5.99      1.00
string                format           1            19        6.24        2.84      2.11
vector<int>           raw(put)        16            98        5.53       16.50      1.00
vector<int>           format          16            98      177.65        0.51     32.11
hswiss<u64,u64>       raw(put)        16           262        8.25       29.59      1.00
hswiss<u64,u64>       format          16           262      466.71        0.52     56.60
echo-concat           raw(put)         6            36        4.43        7.56      1.00
echo-concat           format           6            36       48.38        0.69     10.92
literal-heavy         raw(put)         2            34        4.01        7.90      1.00
literal-heavy         format           2            34       65.55        0.48     16.35
pad{:>40}             raw(put)         1            40        4.59        8.11      1.00
pad{:>40}             format           1            40       45.87        0.81      9.99
