# bench=io_flash tier=fixed sq_entries=256 cq_entries=512
# k=5 warmup=2 dir=/var/tmp/mc_io_flash_bench cold=1
layer,case,n,bytes,ns_per_op,gib_s,sqe,cqe,rt,x_base
posix/oneshot,fadvise(normal),1,0,319.71,0.0,0,0,0,0.0
flash/oneshot,fadvise(normal),1,0,824.54,0.0,1,1,1,2.58
posix/oneshot,fsync,1,0,449517.0,0.0,0,0,0,0.0
flash/oneshot,fsync,1,0,417603.48,0.0,1,1,1,0.93
posix/oneshot,statx(path),1,0,2199.38,0.0,0,0,0,0.0
flash/oneshot,statx(fd),1,0,14083.35,0.0,1,1,1,6.40
posix/rw,pread 4B,1,4,992.59,0.0,0,0,0,0.0
flash/rw,pread 4B,1,4,1915.86,0.0,1,1,1,1.93
flash/rw,pread 4B (eng hoisted),1,4,1848.10,0.0,1,1,1,1.86
posix/open,raw openat+close,1,0,4721.77,0.0,0,0,0,0.0
posix/open,io::file,1,0,6746.53,0.0,0,0,0,1.43
flash/open,open_file+close,1,0,6454.46,0.0,2,2,2,1.37
ctrl/sstr,sstr<4096>(cstr),1,0,435.57,0.0,0,0,0,0.0
ctrl/sstr,sstr<128>(cstr),1,0,40.87,0.0,0,0,0,0.0
posix/whole,read_file,1,1024,76718.65,0.1,0,0,0,0.0
flash/whole,read_file,1,1024,1383124.85,0.0,4,4,4,18.3
flash/whole,read_file(p,target),1,1024,10377.27,0.9,4,4,4,0.14
posix/whole,write_file,1,1024,5004284.33,0.0,0,0,0,0.0
flash/whole,write_file,1,1024,1334918.89,0.0,3,3,3,0.27
flash/whole,write_file_sync,1,1024,1964857.0,0.0,4,4,4,0.39
posix/whole,read_file,1,65536,989485.14,0.6,0,0,0,0.0
flash/whole,read_file,1,65536,414363.50,0.15,4,4,4,0.42
flash/whole,read_file(p,target),1,65536,54902.90,1.11,4,4,4,0.6
posix/whole,write_file,1,65536,2690202.50,0.2,0,0,0,0.0
flash/whole,write_file,1,65536,846396.60,0.7,3,3,3,0.31
flash/whole,write_file_sync,1,65536,6691427.0,0.1,4,4,4,2.49
posix/whole,read_file,1,1048576,7713150.0,0.13,0,0,0,0.0
flash/whole,read_file,1,1048576,11264251.50,0.9,5,5,5,1.46
flash/whole,read_file(p,target),1,1048576,246327.13,3.96,5,5,5,0.3
posix/whole,write_file,1,1048576,6830865.50,0.14,0,0,0,0.0
flash/whole,write_file,1,1048576,3413626.91,0.29,3,3,3,0.50
flash/whole,write_file_sync,1,1048576,6310499.0,0.15,4,4,4,0.92
flash/chain,open->read->close,1,1024,28475.52,0.3,3,3,1,0.0
posix/batch,serial read_file xN,8,32768,7888764.17,0.0,0,0,0,0.0
flash/batch,serial read_file xN,8,32768,1951833.64,0.2,32,32,32,0.25
flash/batch,read_files(N),8,32768,1850625.78,0.2,32,32,1,0.23
posix/batch,serial statx xN,8,0,40587.23,0.0,0,0,0,0.0
flash/batch,serial stat xN,8,0,7003468.0,0.0,8,8,8,172.55
flash/batch,stat_many(N),8,0,81763.95,0.0,8,8,1,2.1
