# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,1.4850,0.00
memcpy,libc,0,0,0,hot,0,5.9351,0.00
memcpy,raw32,0,0,0,hot,0,1.5583,0.00
memmove,micron,0,0,0,hot,0,1.5234,0.00
memmove,libc,0,0,0,hot,0,5.9220,0.00
memset0,micron,0,0,0,hot,0,1.4728,0.00
memset0,libc,0,0,0,hot,0,6.2645,0.00
memset5A,micron,0,0,0,hot,0,1.4654,0.00
memcpy,micron,1,0,0,hot,0,3.3536,0.83
memcpy,libc,1,0,0,hot,0,5.5415,0.50
memcpy,raw32,1,0,0,hot,0,4.5486,0.61
memmove,micron,1,0,0,hot,0,3.0863,0.91
memmove,libc,1,0,0,hot,0,5.6137,0.50
memset0,micron,1,0,0,hot,0,5.7901,0.48
memset0,libc,1,0,0,hot,0,3.9606,0.71
memset5A,micron,1,0,0,hot,0,6.0708,0.46
memcpy,micron,2,0,0,hot,0,1.9830,1.41
memcpy,libc,2,0,0,hot,0,1.9673,1.42
memcpy,raw32,2,0,0,hot,0,2.5953,1.08
memmove,micron,2,0,0,hot,0,2.2515,1.24
memmove,libc,2,0,0,hot,0,1.8218,1.53
memset0,micron,2,0,0,hot,0,2.6488,1.05
memset0,libc,2,0,0,hot,0,1.9023,1.47
memset5A,micron,2,0,0,hot,0,3.4576,0.81
memcpy,micron,3,0,0,hot,0,1.4989,1.86
memcpy,libc,3,0,0,hot,0,1.2468,2.24
memcpy,raw32,3,0,0,hot,0,1.7494,1.60
memmove,micron,3,0,0,hot,0,1.9668,1.42
memmove,libc,3,0,0,hot,0,1.2558,2.22
memset0,micron,3,0,0,hot,0,1.7577,1.59
memset0,libc,3,0,0,hot,0,1.5548,1.80
memset5A,micron,3,0,0,hot,0,2.3051,1.21
memcpy,micron,4,0,0,hot,0,1.1249,2.48
memcpy,libc,4,0,0,hot,0,1.1219,2.49
memcpy,raw32,4,0,0,hot,0,1.3865,2.01
memmove,micron,4,0,0,hot,0,1.7941,1.56
memmove,libc,4,0,0,hot,0,1.1293,2.47
memset0,micron,4,0,0,hot,0,1.0139,2.75
memset0,libc,4,0,0,hot,0,1.1205,2.49
memset5A,micron,4,0,0,hot,0,1.0407,2.68
memcpy,micron,5,0,0,hot,0,0.8354,3.34
memcpy,libc,5,0,0,hot,0,0.9133,3.06
memcpy,raw32,5,0,0,hot,0,0.8172,3.42
memmove,micron,5,0,0,hot,0,1.6694,1.67
memmove,libc,5,0,0,hot,0,0.8934,3.13
memset0,micron,5,0,0,hot,0,2.2116,1.26
memset0,libc,5,0,0,hot,0,0.9028,3.09
memset5A,micron,5,0,0,hot,0,1.5141,1.85
memcpy,micron,6,0,0,hot,0,0.6556,4.26
memcpy,libc,6,0,0,hot,0,0.7570,3.69
memcpy,raw32,6,0,0,hot,0,0.6523,4.28
memmove,micron,6,0,0,hot,0,1.4493,1.93
memmove,libc,6,0,0,hot,0,0.7978,3.50
memset0,micron,6,0,0,hot,0,1.2337,2.27
memset0,libc,6,0,0,hot,0,0.7549,3.70
memset5A,micron,6,0,0,hot,0,0.6225,4.50
memcpy,micron,7,0,0,hot,0,0.6098,4.58
memcpy,libc,7,0,0,hot,0,0.6551,4.26
memcpy,raw32,7,0,0,hot,0,0.5918,4.72
memmove,micron,7,0,0,hot,0,1.4315,1.95
memmove,libc,7,0,0,hot,0,0.7603,3.67
memset0,micron,7,0,0,hot,0,1.0705,2.61
memset0,libc,7,0,0,hot,0,0.6491,4.30
memset5A,micron,7,0,0,hot,0,1.1956,2.34
memcpy,micron,8,0,0,hot,0,0.4371,6.39
memcpy,libc,8,0,0,hot,0,0.4691,5.96
memcpy,raw32,8,0,0,hot,0,1.3360,2.09
memmove,micron,8,0,0,hot,0,0.5648,4.95
memmove,libc,8,0,0,hot,0,0.4688,5.96
memset0,micron,8,0,0,hot,0,0.4776,5.85
memset0,libc,8,0,0,hot,0,0.3052,9.19
memset5A,micron,8,0,0,hot,0,0.5526,5.06
memcpy,micron,9,0,0,hot,0,0.4619,6.05
memcpy,libc,9,0,0,hot,0,0.3995,7.00
memcpy,raw32,9,0,0,hot,0,0.4749,5.88
memmove,micron,9,0,0,hot,0,0.6302,4.43
memmove,libc,9,0,0,hot,0,0.4172,6.70
memset0,micron,9,0,0,hot,0,0.5910,4.73
memset0,libc,9,0,0,hot,0,0.5391,5.18
memset5A,micron,9,0,0,hot,0,0.8246,3.39
memcpy,micron,10,0,0,hot,0,0.4172,6.70
memcpy,libc,10,0,0,hot,0,0.4526,6.17
memcpy,raw32,10,0,0,hot,0,0.0000,0.00
memmove,micron,10,0,0,hot,0,0.6423,4.35
memmove,libc,10,0,0,hot,0,0.3753,7.44
memset0,micron,10,0,0,hot,0,0.6063,4.61
memset0,libc,10,0,0,hot,0,0.4825,5.78
memset5A,micron,10,0,0,hot,0,0.6750,4.14
memcpy,micron,11,0,0,hot,0,0.3809,7.33
memcpy,libc,11,0,0,hot,0,0.3474,8.04
memcpy,raw32,11,0,0,hot,0,0.3601,7.55
memmove,micron,11,0,0,hot,0,0.6985,4.00
memmove,libc,11,0,0,hot,0,0.3413,8.19
memset0,micron,11,0,0,hot,0,0.5460,5.12
memset0,libc,11,0,0,hot,0,0.2916,9.61
memset5A,micron,11,0,0,hot,0,0.6546,4.27
memcpy,micron,12,0,0,hot,0,0.3466,8.07
memcpy,libc,12,0,0,hot,0,0.4827,5.78
memcpy,raw32,12,0,0,hot,0,0.3479,8.03
memmove,micron,12,0,0,hot,0,0.7060,3.96
memmove,libc,12,0,0,hot,0,0.0000,0.00
memset0,micron,12,0,0,hot,0,0.6460,4.32
memset0,libc,12,0,0,hot,0,0.3751,7.45
memset5A,micron,12,0,0,hot,0,0.3871,7.22
memcpy,micron,13,0,0,hot,0,0.3420,8.16
memcpy,libc,13,0,0,hot,0,0.2759,10.13
memcpy,raw32,13,0,0,hot,0,0.3060,9.13
memmove,micron,13,0,0,hot,0,0.6054,4.62
memmove,libc,13,0,0,hot,0,0.2888,9.67
memset0,micron,13,0,0,hot,0,0.5665,4.93
memset0,libc,13,0,0,hot,0,0.3108,9.00
memset5A,micron,13,0,0,hot,0,0.7048,3.96
memcpy,micron,14,0,0,hot,0,0.3061,9.13
memcpy,libc,14,0,0,hot,0,0.2680,10.42
memcpy,raw32,14,0,0,hot,0,0.2833,9.86
memmove,micron,14,0,0,hot,0,0.8072,3.46
memmove,libc,14,0,0,hot,0,0.2681,10.42
memset0,micron,14,0,0,hot,0,0.5893,4.74
memset0,libc,14,0,0,hot,0,0.3215,8.69
memset5A,micron,14,0,0,hot,0,0.6965,4.01
memcpy,micron,15,0,0,hot,0,0.2775,10.07
memcpy,libc,15,0,0,hot,0,0.2969,9.40
memcpy,raw32,15,0,0,hot,0,0.2678,10.43
memmove,micron,15,0,0,hot,0,0.6921,4.04
memmove,libc,15,0,0,hot,0,0.2503,11.16
memset0,micron,15,0,0,hot,0,0.5877,4.75
memset0,libc,15,0,0,hot,0,0.3001,9.31
memset5A,micron,15,0,0,hot,0,0.6992,3.99
memcpy,micron,16,0,0,hot,0,0.1949,14.34
memcpy,libc,16,0,0,hot,0,0.1398,20.08
memcpy,raw32,16,0,0,hot,0,0.2344,11.92
memmove,micron,16,0,0,hot,0,0.2644,10.57
memmove,libc,16,0,0,hot,0,0.2346,11.91
memset0,micron,16,0,0,hot,0,0.1875,14.90
memset0,libc,16,0,0,hot,0,0.2813,9.93
memset5A,micron,16,0,0,hot,0,0.1938,14.41
memcpy,micron,17,0,0,hot,0,0.0843,33.29
memcpy,libc,17,0,0,hot,0,0.2207,12.66
memcpy,raw32,17,0,0,hot,0,0.3530,7.92
memmove,micron,17,0,0,hot,0,0.3314,8.43
memmove,libc,17,0,0,hot,0,0.2210,12.64
memset0,micron,17,0,0,hot,0,0.2281,12.25
memset0,libc,17,0,0,hot,0,0.2321,12.05
memset5A,micron,17,0,0,hot,0,0.2400,11.65
memcpy,micron,18,0,0,hot,0,0.2664,10.49
memcpy,libc,18,0,0,hot,0,0.2084,13.41
memcpy,raw32,18,0,0,hot,0,0.3334,8.38
memmove,micron,18,0,0,hot,0,0.3804,7.34
memmove,libc,18,0,0,hot,0,0.2050,13.66
memset0,micron,18,0,0,hot,0,0.4512,6.17
memset0,libc,18,0,0,hot,0,0.2748,10.16
memset5A,micron,18,0,0,hot,0,0.2919,9.57
memcpy,micron,19,0,0,hot,0,0.3250,8.60
memcpy,libc,19,0,0,hot,0,0.1975,14.15
memcpy,raw32,19,0,0,hot,0,0.3695,7.56
memmove,micron,19,0,0,hot,0,0.4129,6.77
memmove,libc,19,0,0,hot,0,0.1975,14.15
memset0,micron,19,0,0,hot,0,0.2291,12.23
memset0,libc,19,0,0,hot,0,0.2369,11.79
memset5A,micron,19,0,0,hot,0,0.2970,9.41
memcpy,micron,20,0,0,hot,0,0.3756,7.44
memcpy,libc,20,0,0,hot,0,0.1876,14.90
memcpy,raw32,20,0,0,hot,0,0.3760,7.43
memmove,micron,20,0,0,hot,0,0.4121,6.78
memmove,libc,20,0,0,hot,0,0.1877,14.88
memset0,micron,20,0,0,hot,0,0.0763,37.15
memset0,libc,20,0,0,hot,0,0.2253,12.40
memset5A,micron,20,0,0,hot,0,0.2250,12.42
memcpy,micron,21,0,0,hot,0,0.3834,7.29
memcpy,libc,21,0,0,hot,0,0.1786,15.64
memcpy,raw32,21,0,0,hot,0,0.4016,6.96
memmove,micron,21,0,0,hot,0,0.4225,6.61
memmove,libc,21,0,0,hot,0,0.1788,15.62
memset0,micron,21,0,0,hot,0,0.4596,6.07
memset0,libc,21,0,0,hot,0,0.2143,13.04
memset5A,micron,21,0,0,hot,0,0.3188,8.77
memcpy,micron,22,0,0,hot,0,0.4067,6.87
memcpy,libc,22,0,0,hot,0,0.1706,16.38
memcpy,raw32,22,0,0,hot,0,0.4166,6.71
memmove,micron,22,0,0,hot,0,0.4455,6.27
memmove,libc,22,0,0,hot,0,0.3111,8.95
memset0,micron,22,0,0,hot,0,0.3236,8.63
memset0,libc,22,0,0,hot,0,0.1049,26.87
memset5A,micron,22,0,0,hot,0,0.3750,7.45
memcpy,micron,23,0,0,hot,0,0.4806,5.80
memcpy,libc,23,0,0,hot,0,0.0096,301.78
memcpy,raw32,23,0,0,hot,0,0.4053,6.89
memmove,micron,23,0,0,hot,0,0.4503,6.21
memmove,libc,23,0,0,hot,0,0.1632,17.11
memset0,micron,23,0,0,hot,0,0.3354,8.33
memset0,libc,23,0,0,hot,0,0.3556,7.83
memset5A,micron,23,0,0,hot,0,0.3480,8.03
memcpy,micron,24,0,0,hot,0,0.1448,19.29
memcpy,libc,24,0,0,hot,0,0.1726,16.16
memcpy,raw32,24,0,0,hot,0,0.2188,12.77
memmove,micron,24,0,0,hot,0,0.2358,11.84
memmove,libc,24,0,0,hot,0,0.1565,17.86
memset0,micron,24,0,0,hot,0,0.1822,15.32
memset0,libc,24,0,0,hot,0,0.1877,14.89
memset5A,micron,24,0,0,hot,0,0.2188,12.77
memcpy,micron,25,0,0,hot,0,0.2169,12.87
