# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,1.3025,0.00
memcpy,libc,0,0,0,hot,0,5.8217,0.00
memcpy,raw32,0,0,0,hot,0,2.0458,0.00
memmove,micron,0,0,0,hot,0,1.2638,0.00
memmove,libc,0,0,0,hot,0,6.1074,0.00
memset0,micron,0,0,0,hot,0,1.5832,0.00
memset0,libc,0,0,0,hot,0,6.1167,0.00
memset5A,micron,0,0,0,hot,0,1.4810,0.00
memcpy,micron,1,0,0,hot,0,3.1701,0.88
memcpy,libc,1,0,0,hot,0,5.5058,0.51
memcpy,raw32,1,0,0,hot,0,4.8942,0.57
memmove,micron,1,0,0,hot,0,3.4873,0.80
memmove,libc,1,0,0,hot,0,5.1876,0.54
memset0,micron,1,0,0,hot,0,4.6456,0.60
memset0,libc,1,0,0,hot,0,3.8942,0.72
memset5A,micron,1,0,0,hot,0,6.7432,0.41
memcpy,micron,2,0,0,hot,0,2.2569,1.24
memcpy,libc,2,0,0,hot,0,3.7793,0.74
memcpy,raw32,2,0,0,hot,0,2.5733,1.09
memmove,micron,2,0,0,hot,0,2.2553,1.24
memmove,libc,2,0,0,hot,0,1.9092,1.46
memset0,micron,2,0,0,hot,0,2.7288,1.02
memset0,libc,2,0,0,hot,0,2.6477,1.05
memset5A,micron,2,0,0,hot,0,3.3239,0.84
memcpy,micron,3,0,0,hot,0,1.4753,1.89
memcpy,libc,3,0,0,hot,0,1.2746,2.19
memcpy,raw32,3,0,0,hot,0,1.7780,1.57
memmove,micron,3,0,0,hot,0,1.9028,1.47
memmove,libc,3,0,0,hot,0,1.0672,2.62
memset0,micron,3,0,0,hot,0,0.7270,3.85
memset0,libc,3,0,0,hot,0,1.5552,1.80
memset5A,micron,3,0,0,hot,0,2.3472,1.19
memcpy,micron,4,0,0,hot,0,0.1933,14.52
memcpy,libc,4,0,0,hot,0,1.0911,2.56
memcpy,raw32,4,0,0,hot,0,1.3004,2.15
memmove,micron,4,0,0,hot,0,1.7777,1.57
memmove,libc,4,0,0,hot,0,1.1533,2.42
memset0,micron,4,0,0,hot,0,0.9463,2.95
memset0,libc,4,0,0,hot,0,1.1446,2.44
memset5A,micron,4,0,0,hot,0,0.8871,3.15
memcpy,micron,5,0,0,hot,0,0.7982,3.50
memcpy,libc,5,0,0,hot,0,0.9063,3.08
memcpy,raw32,5,0,0,hot,0,1.2568,2.22
memmove,micron,5,0,0,hot,0,1.6588,1.68
memmove,libc,5,0,0,hot,0,0.8751,3.20
memset0,micron,5,0,0,hot,0,1.3558,2.06
memset0,libc,5,0,0,hot,0,0.8968,3.12
memset5A,micron,5,0,0,hot,0,1.5063,1.85
memcpy,micron,6,0,0,hot,0,0.7183,3.89
memcpy,libc,6,0,0,hot,0,0.7573,3.69
memcpy,raw32,6,0,0,hot,0,0.6894,4.05
memmove,micron,6,0,0,hot,0,1.4202,1.97
memmove,libc,6,0,0,hot,0,0.7564,3.69
memset0,micron,6,0,0,hot,0,1.3073,2.14
memset0,libc,6,0,0,hot,0,0.7495,3.73
memset5A,micron,6,0,0,hot,0,2.9052,0.96
memcpy,micron,7,0,0,hot,0,0.6089,4.59
memcpy,libc,7,0,0,hot,0,0.6521,4.28
memcpy,raw32,7,0,0,hot,0,0.6909,4.04
memmove,micron,7,0,0,hot,0,1.4001,2.00
memmove,libc,7,0,0,hot,0,0.6520,4.29
memset0,micron,7,0,0,hot,0,1.0851,2.57
memset0,libc,7,0,0,hot,0,0.6493,4.30
memset5A,micron,7,0,0,hot,0,1.1848,2.36
memcpy,micron,8,0,0,hot,0,0.3955,7.07
memcpy,libc,8,0,0,hot,0,0.7732,3.61
memcpy,raw32,8,0,0,hot,0,0.1299,21.69
memmove,micron,8,0,0,hot,0,0.5819,4.80
memmove,libc,8,0,0,hot,0,0.4670,5.98
memset0,micron,8,0,0,hot,0,0.4835,5.78
memset0,libc,8,0,0,hot,0,0.5626,4.97
memset5A,micron,8,0,0,hot,0,0.1890,14.82
memcpy,micron,9,0,0,hot,0,0.4619,6.05
memcpy,libc,9,0,0,hot,0,0.4168,6.70
memcpy,raw32,9,0,0,hot,0,1.1021,2.53
memmove,micron,9,0,0,hot,0,0.6388,4.37
memmove,libc,9,0,0,hot,0,0.4170,6.70
memset0,micron,9,0,0,hot,0,0.5897,4.74
memset0,libc,9,0,0,hot,0,0.5771,4.84
memset5A,micron,9,0,0,hot,0,0.7596,3.68
memcpy,micron,10,0,0,hot,0,0.4172,6.70
memcpy,libc,10,0,0,hot,0,0.3827,7.30
memcpy,raw32,10,0,0,hot,0,0.5621,4.98
memmove,micron,10,0,0,hot,0,0.6146,4.55
memmove,libc,10,0,0,hot,0,0.3753,7.44
memset0,micron,10,0,0,hot,0,0.6000,4.66
memset0,libc,10,0,0,hot,0,0.4699,5.94
memset5A,micron,10,0,0,hot,0,0.6860,4.07
memcpy,micron,11,0,0,hot,0,0.3778,7.40
memcpy,libc,11,0,0,hot,0,0.3410,8.19
memcpy,raw32,11,0,0,hot,0,0.3617,7.73
memmove,micron,11,0,0,hot,0,0.6932,4.03
memmove,libc,11,0,0,hot,0,0.3281,8.52
memset0,micron,11,0,0,hot,0,0.5522,5.06
