# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,1.5731,0.00
memcpy,libc,0,0,0,hot,0,4.5050,0.00
memcpy,raw32,0,0,0,hot,0,1.4986,0.00
memmove,micron,0,0,0,hot,0,1.5800,0.00
memmove,libc,0,0,0,hot,0,4.5204,0.00
memset0,micron,0,0,0,hot,0,0.9236,0.00
memset0,libc,0,0,0,hot,0,6.8785,0.00
memset5A,micron,0,0,0,hot,0,1.4213,0.00
memcpy,micron,1,0,0,hot,0,3.5945,0.78
memcpy,libc,1,0,0,hot,0,4.6052,0.61
memcpy,raw32,1,0,0,hot,0,3.8478,0.73
memmove,micron,1,0,0,hot,0,3.9936,0.70
memmove,libc,1,0,0,hot,0,4.4120,0.63
memset0,micron,1,0,0,hot,0,3.7573,0.74
memset0,libc,1,0,0,hot,0,3.9724,0.70
memset5A,micron,1,0,0,hot,0,4.4335,0.63
memcpy,micron,2,0,0,hot,0,2.5891,1.08
memcpy,libc,2,0,0,hot,0,1.9993,1.40
memcpy,raw32,2,0,0,hot,0,2.5925,1.08
memmove,micron,2,0,0,hot,0,2.6363,1.06
memmove,libc,2,0,0,hot,0,2.0011,1.40
memset0,micron,2,0,0,hot,0,1.8306,1.53
memset0,libc,2,0,0,hot,0,2.2460,1.24
memset5A,micron,2,0,0,hot,0,2.0961,1.33
memcpy,micron,3,0,0,hot,0,1.6689,1.67
memcpy,libc,3,0,0,hot,0,1.2686,2.20
memcpy,raw32,3,0,0,hot,0,1.6791,1.66
memmove,micron,3,0,0,hot,0,1.7827,1.57
memmove,libc,3,0,0,hot,0,1.2740,2.19
memset0,micron,3,0,0,hot,0,1.2446,2.25
memset0,libc,3,0,0,hot,0,1.5019,1.86
memset5A,micron,3,0,0,hot,0,1.5058,1.86
memcpy,micron,4,0,0,hot,0,1.2065,2.32
memcpy,libc,4,0,0,hot,0,1.4366,1.94
memcpy,raw32,4,0,0,hot,0,1.2025,2.32
memmove,micron,4,0,0,hot,0,1.2773,2.19
memmove,libc,4,0,0,hot,0,1.5066,1.85
memset0,micron,4,0,0,hot,0,1.0186,2.74
memset0,libc,4,0,0,hot,0,1.1282,2.48
memset5A,micron,4,0,0,hot,0,1.3121,2.13
memcpy,micron,5,0,0,hot,0,0.9343,2.99
memcpy,libc,5,0,0,hot,0,1.1732,2.38
memcpy,raw32,5,0,0,hot,0,0.9341,2.99
memmove,micron,5,0,0,hot,0,1.0059,2.78
memmove,libc,5,0,0,hot,0,1.1937,2.34
memset0,micron,5,0,0,hot,0,0.7948,3.51
memset0,libc,5,0,0,hot,0,0.8989,3.11
memset5A,micron,5,0,0,hot,0,1.0503,2.66
memcpy,micron,6,0,0,hot,0,0.7764,3.60
memcpy,libc,6,0,0,hot,0,1.0096,2.77
memcpy,raw32,6,0,0,hot,0,0.7860,3.55
memmove,micron,6,0,0,hot,0,0.8366,3.34
memmove,libc,6,0,0,hot,0,1.0000,2.79
memset0,micron,6,0,0,hot,0,0.6236,4.48
memset0,libc,6,0,0,hot,0,0.7542,3.70
memset5A,micron,6,0,0,hot,0,0.8761,3.19
memcpy,micron,7,0,0,hot,0,0.6750,4.14
memcpy,libc,7,0,0,hot,0,0.8654,3.23
memcpy,raw32,7,0,0,hot,0,0.6564,4.26
memmove,micron,7,0,0,hot,0,0.7133,3.92
memmove,libc,7,0,0,hot,0,0.8619,3.24
memset0,micron,7,0,0,hot,0,0.5319,5.25
memset0,libc,7,0,0,hot,0,0.6375,4.38
memset5A,micron,7,0,0,hot,0,0.7463,3.74
memcpy,micron,8,0,0,hot,0,0.6003,4.65
memcpy,libc,8,0,0,hot,0,0.6563,4.26
memcpy,raw32,8,0,0,hot,0,0.5958,4.69
memmove,micron,8,0,0,hot,0,0.6101,4.58
memmove,libc,8,0,0,hot,0,0.6562,4.26
memset0,micron,8,0,0,hot,0,0.3323,8.42
memset0,libc,8,0,0,hot,0,0.6620,4.22
memset5A,micron,8,0,0,hot,0,0.4735,5.90
memcpy,micron,9,0,0,hot,0,0.5089,5.49
memcpy,libc,9,0,0,hot,0,0.5863,4.76
memcpy,raw32,9,0,0,hot,0,0.5088,5.49
memmove,micron,9,0,0,hot,0,0.5795,4.82
memmove,libc,9,0,0,hot,0,0.5833,4.79
memset0,micron,9,0,0,hot,0,0.3117,8.97
memset0,libc,9,0,0,hot,0,0.5922,4.72
memset5A,micron,9,0,0,hot,0,0.4167,6.71
memcpy,micron,10,0,0,hot,0,0.4580,6.10
memcpy,libc,10,0,0,hot,0,0.5250,5.32
memcpy,raw32,10,0,0,hot,0,0.4598,6.08
memmove,micron,10,0,0,hot,0,0.4744,5.89
memmove,libc,10,0,0,hot,0,0.5250,5.32
memset0,micron,10,0,0,hot,0,0.3000,9.31
memset0,libc,10,0,0,hot,0,0.4838,5.78
memset5A,micron,10,0,0,hot,0,0.3750,7.45
memcpy,micron,11,0,0,hot,0,0.4165,6.71
memcpy,libc,11,0,0,hot,0,0.4773,5.85
memcpy,raw32,11,0,0,hot,0,0.4163,6.71
memmove,micron,11,0,0,hot,0,0.4577,6.11
memmove,libc,11,0,0,hot,0,0.4772,5.85
memset0,micron,11,0,0,hot,0,0.2728,10.24
memset0,libc,11,0,0,hot,0,0.4773,5.85
memset5A,micron,11,0,0,hot,0,0.3570,7.82
memcpy,micron,12,0,0,hot,0,0.3817,7.32
memcpy,libc,12,0,0,hot,0,0.4375,6.39
memcpy,raw32,12,0,0,hot,0,0.3817,7.32
memmove,micron,12,0,0,hot,0,0.4295,6.50
memmove,libc,12,0,0,hot,0,0.4375,6.39
memset0,micron,12,0,0,hot,0,0.6341,4.40
memset0,libc,12,0,0,hot,0,0.5000,5.59
memset5A,micron,12,0,0,hot,0,0.3125,8.94
memcpy,micron,13,0,0,hot,0,0.3524,7.93
memcpy,libc,13,0,0,hot,0,0.4036,6.92
memcpy,raw32,13,0,0,hot,0,0.3525,7.92
memmove,micron,13,0,0,hot,0,0.3756,7.44
