# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,2.8975,0.00
memcpy,libc,0,0,0,hot,0,7.0281,0.00
memcpy,raw32,0,0,0,hot,0,0.0000,0.00
memmove,micron,0,0,0,hot,0,0.8127,0.00
memmove,libc,0,0,0,hot,0,4.4810,0.00
memset0,micron,0,0,0,hot,0,1.4882,0.00
memset0,libc,0,0,0,hot,0,6.8224,0.00
memset5A,micron,0,0,0,hot,0,1.5093,0.00
memcpy,micron,1,0,0,hot,0,2.9079,0.96
memcpy,libc,1,0,0,hot,0,5.0606,0.55
memcpy,raw32,1,0,0,hot,0,3.8211,0.73
memmove,micron,1,0,0,hot,0,3.7153,0.75
memmove,libc,1,0,0,hot,0,3.9345,0.71
memset0,micron,1,0,0,hot,0,3.0821,0.91
memset0,libc,1,0,0,hot,0,3.7539,0.74
memset5A,micron,1,0,0,hot,0,4.9464,0.56
memcpy,micron,2,0,0,hot,0,2.1930,1.27
memcpy,libc,2,0,0,hot,0,1.8798,1.49
memcpy,raw32,2,0,0,hot,0,2.2740,1.23
memmove,micron,2,0,0,hot,0,2.2392,1.25
memmove,libc,2,0,0,hot,0,1.8785,1.49
memset0,micron,2,0,0,hot,0,1.9037,1.47
memset0,libc,2,0,0,hot,0,2.2072,1.27
memset5A,micron,2,0,0,hot,0,2.2509,1.24
memcpy,micron,3,0,0,hot,0,1.4214,1.97
memcpy,libc,3,0,0,hot,0,1.2535,2.23
memcpy,raw32,3,0,0,hot,0,1.4259,1.96
memmove,micron,3,0,0,hot,0,1.4765,1.89
memmove,libc,3,0,0,hot,0,1.2705,2.20
memset0,micron,3,0,0,hot,0,1.2615,2.21
memset0,libc,3,0,0,hot,0,1.5052,1.86
memset5A,micron,3,0,0,hot,0,1.4930,1.87
memcpy,micron,4,0,0,hot,0,1.0128,2.76
memcpy,libc,4,0,0,hot,0,1.1235,2.49
memcpy,raw32,4,0,0,hot,0,1.0110,2.76
memmove,micron,4,0,0,hot,0,1.1326,2.47
