# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,1.3596,0.00
memcpy,libc,0,0,0,hot,0,5.1635,0.00
memcpy,raw32,0,0,0,hot,0,1.5906,0.00
memmove,micron,0,0,0,hot,0,1.8181,0.00
memmove,libc,0,0,0,hot,0,5.2589,0.00
memset0,micron,0,0,0,hot,0,0.8716,0.00
memset0,libc,0,0,0,hot,0,5.5047,0.00
memset5A,micron,0,0,0,hot,0,1.3257,0.00
memcpy,micron,1,0,0,hot,0,3.7375,0.75
memcpy,libc,1,0,0,hot,0,5.7985,0.48
memcpy,raw32,1,0,0,hot,0,4.2556,0.66
memmove,micron,1,0,0,hot,0,3.0386,0.92
memmove,libc,1,0,0,hot,0,7.4585,0.37
memset0,micron,1,0,0,hot,0,10.2475,0.27
memset0,libc,1,0,0,hot,0,7.9907,0.35
memset5A,micron,1,0,0,hot,0,8.0285,0.35
memcpy,micron,2,0,0,hot,0,3.8240,0.73
memcpy,libc,2,0,0,hot,0,0.0000,0.00
memcpy,raw32,2,0,0,hot,0,2.2600,1.24
memmove,micron,2,0,0,hot,0,2.5510,1.10
memmove,libc,2,0,0,hot,0,1.8792,1.49
memset0,micron,2,0,0,hot,0,1.5050,1.85
memset0,libc,2,0,0,hot,0,2.2802,1.23
memset5A,micron,2,0,0,hot,0,2.2160,1.26
memcpy,micron,3,0,0,hot,0,1.2521,2.23
memcpy,libc,3,0,0,hot,0,1.7765,1.57
memcpy,raw32,3,0,0,hot,0,1.5468,1.80
memmove,micron,3,0,0,hot,0,1.5329,1.82
memmove,libc,3,0,0,hot,0,1.2656,2.21
memset0,micron,3,0,0,hot,0,1.0117,2.76
memset0,libc,3,0,0,hot,0,1.6077,1.74
memset5A,micron,3,0,0,hot,0,1.7617,1.59
memcpy,micron,4,0,0,hot,0,0.8562,3.26
