# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,0.8218,0.00
memcpy,libc,0,0,0,hot,0,5.8202,0.00
memcpy,raw32,0,0,0,hot,0,1.5040,0.00
memmove,micron,0,0,0,hot,0,1.5112,0.00
memmove,libc,0,0,0,hot,0,5.3586,0.00
memset0,micron,0,0,0,hot,0,0.8274,0.00
memset0,libc,0,0,0,hot,0,6.0176,0.00
memset5A,micron,0,0,0,hot,0,0.6623,0.00
memcpy,micron,1,0,0,hot,0,3.7537,0.74
memcpy,libc,1,0,0,hot,0,5.3387,0.52
memcpy,raw32,1,0,0,hot,0,3.7679,0.74
memmove,micron,1,0,0,hot,0,3.7081,0.75
memmove,libc,1,0,0,hot,0,5.6391,0.50
memset0,micron,1,0,0,hot,0,3.0045,0.93
memset0,libc,1,0,0,hot,0,3.7904,0.74
memset5A,micron,1,0,0,hot,0,4.5987,0.61
memcpy,micron,2,0,0,hot,0,2.2256,1.26
memcpy,libc,2,0,0,hot,0,1.8809,1.49
memcpy,raw32,2,0,0,hot,0,2.2252,1.26
memmove,micron,2,0,0,hot,0,2.2388,1.25
memmove,libc,2,0,0,hot,0,1.9163,1.46
memset0,micron,2,0,0,hot,0,1.5040,1.86
memset0,libc,2,0,0,hot,0,2.2543,1.24
memset5A,micron,2,0,0,hot,0,2.2566,1.24
memcpy,micron,3,0,0,hot,0,1.4222,1.96
memcpy,libc,3,0,0,hot,0,1.2504,2.23
memcpy,raw32,3,0,0,hot,0,1.4222,1.96
memmove,micron,3,0,0,hot,0,1.5001,1.86
memmove,libc,3,0,0,hot,0,1.2582,2.22
memset0,micron,3,0,0,hot,0,1.0370,2.69
memset0,libc,3,0,0,hot,0,1.5012,1.86
memset5A,micron,3,0,0,hot,0,1.4950,1.87
memcpy,micron,4,0,0,hot,0,1.0180,2.74
memcpy,libc,4,0,0,hot,0,1.1252,2.48
memcpy,raw32,4,0,0,hot,0,1.0183,2.74
memmove,micron,4,0,0,hot,0,1.1260,2.48
memmove,libc,4,0,0,hot,0,1.1256,2.48
memset0,micron,4,0,0,hot,0,0.7578,3.69
memset0,libc,4,0,0,hot,0,1.1238,2.49
memset5A,micron,4,0,0,hot,0,1.3132,2.13
memcpy,micron,5,0,0,hot,0,0.7409,3.77
memcpy,libc,5,0,0,hot,0,0.8924,3.13
memcpy,raw32,5,0,0,hot,0,0.7862,3.55
memmove,micron,5,0,0,hot,0,0.8997,3.11
memmove,libc,5,0,0,hot,0,0.9056,3.08
memset0,micron,5,0,0,hot,0,0.6000,4.66
memset0,libc,5,0,0,hot,0,0.9049,3.09
memset5A,micron,5,0,0,hot,0,1.0551,2.65
memcpy,micron,6,0,0,hot,0,0.6539,4.27
memcpy,libc,6,0,0,hot,0,0.9632,2.90
memcpy,raw32,6,0,0,hot,0,0.6534,4.28
memmove,micron,6,0,0,hot,0,0.7569,3.69
memmove,libc,6,0,0,hot,0,0.7468,3.74
memset0,micron,6,0,0,hot,0,0.5048,5.53
memset0,libc,6,0,0,hot,0,0.7559,3.70
memset5A,micron,6,0,0,hot,0,0.8808,3.17
memcpy,micron,7,0,0,hot,0,0.5507,5.07
memcpy,libc,7,0,0,hot,0,0.6485,4.31
memcpy,raw32,7,0,0,hot,0,0.6139,4.55
memmove,micron,7,0,0,hot,0,0.6432,4.34
memmove,libc,7,0,0,hot,0,0.6478,4.31
memset0,micron,7,0,0,hot,0,0.4329,6.45
memset0,libc,7,0,0,hot,0,0.6428,4.35
memset5A,micron,7,0,0,hot,0,0.8356,3.34
memcpy,micron,8,0,0,hot,0,0.5077,5.50
memcpy,libc,8,0,0,hot,0,0.4689,5.96
memcpy,raw32,8,0,0,hot,0,0.5022,5.56
memmove,micron,8,0,0,hot,0,0.6368,4.39
memmove,libc,8,0,0,hot,0,0.4688,5.96
memset0,micron,8,0,0,hot,0,0.2814,9.93
memset0,libc,8,0,0,hot,0,0.5628,4.96
memset5A,micron,8,0,0,hot,0,0.4735,5.90
memcpy,micron,9,0,0,hot,0,0.4255,6.57
memcpy,libc,9,0,0,hot,0,0.4167,6.70
memcpy,raw32,9,0,0,hot,0,0.4506,6.20
memmove,micron,9,0,0,hot,0,0.4452,6.28
memmove,libc,9,0,0,hot,0,0.4165,6.71
memset0,micron,9,0,0,hot,0,0.2500,11.17
memset0,libc,9,0,0,hot,0,0.5045,5.54
memset5A,micron,9,0,0,hot,0,0.4166,6.71
memcpy,micron,10,0,0,hot,0,0.3829,7.30
memcpy,libc,10,0,0,hot,0,0.3751,7.45
memcpy,raw32,10,0,0,hot,0,0.3830,7.30
memmove,micron,10,0,0,hot,0,0.4008,6.97
memmove,libc,10,0,0,hot,0,0.3752,7.45
memset0,micron,10,0,0,hot,0,0.2266,12.32
memset0,libc,10,0,0,hot,0,0.4503,6.20
memset5A,micron,10,0,0,hot,0,0.3750,7.45
memcpy,micron,11,0,0,hot,0,0.3499,7.98
memcpy,libc,11,0,0,hot,0,0.3410,8.19
memcpy,raw32,11,0,0,hot,0,0.3484,8.02
memmove,micron,11,0,0,hot,0,0.3634,7.69
memmove,libc,11,0,0,hot,0,0.3410,8.19
memset0,micron,11,0,0,hot,0,0.2046,13.65
memset0,libc,11,0,0,hot,0,0.4091,6.83
memset5A,micron,11,0,0,hot,0,0.3479,8.03
memcpy,micron,12,0,0,hot,0,0.3192,8.76
memcpy,libc,12,0,0,hot,0,0.3167,8.82
memcpy,raw32,12,0,0,hot,0,0.3210,8.58
memmove,micron,12,0,0,hot,0,0.3354,8.33
memmove,libc,12,0,0,hot,0,0.3125,8.94
memset0,micron,12,0,0,hot,0,0.1875,14.90
memset0,libc,12,0,0,hot,0,0.3750,7.45
memset5A,micron,12,0,0,hot,0,0.3125,8.94
memcpy,micron,13,0,0,hot,0,0.2946,9.49
memcpy,libc,13,0,0,hot,0,0.2884,9.69
memcpy,raw32,13,0,0,hot,0,0.2961,9.43
memmove,micron,13,0,0,hot,0,0.3094,9.03
memmove,libc,13,0,0,hot,0,0.2885,9.68
memset0,micron,13,0,0,hot,0,0.1731,16.14
memset0,libc,13,0,0,hot,0,0.3461,8.07
memset5A,micron,13,0,0,hot,0,0.2885,9.69
