# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,1.5618,0.00
memcpy,libc,0,0,0,hot,0,4.5541,0.00
memcpy,raw32,0,0,0,hot,0,1.5752,0.00
memmove,micron,0,0,0,hot,0,1.5797,0.00
memmove,libc,0,0,0,hot,0,4.4905,0.00
memset0,micron,0,0,0,hot,0,0.8226,0.00
memset0,libc,0,0,0,hot,0,7.5331,0.00
memset5A,micron,0,0,0,hot,0,1.4830,0.00
memcpy,micron,1,0,0,hot,0,3.5288,0.79
memcpy,libc,1,0,0,hot,0,4.3859,0.64
memcpy,raw32,1,0,0,hot,0,3.7864,0.74
memmove,micron,1,0,0,hot,0,3.9262,0.71
memmove,libc,1,0,0,hot,0,4.5853,0.61
memset0,micron,1,0,0,hot,0,2.9958,0.93
memset0,libc,1,0,0,hot,0,4.5623,0.61
memset5A,micron,1,0,0,hot,0,4.5060,0.62
memcpy,micron,2,0,0,hot,0,2.5652,1.09
memcpy,libc,2,0,0,hot,0,1.9917,1.40
memcpy,raw32,2,0,0,hot,0,2.5925,1.08
memmove,micron,2,0,0,hot,0,2.7449,1.02
memmove,libc,2,0,0,hot,0,2.0026,1.40
memset0,micron,2,0,0,hot,0,1.5040,1.86
memset0,libc,2,0,0,hot,0,2.2521,1.24
memset5A,micron,2,0,0,hot,0,2.2546,1.24
memcpy,micron,3,0,0,hot,0,1.6799,1.66
memcpy,libc,3,0,0,hot,0,1.2643,2.21
memcpy,raw32,3,0,0,hot,0,1.6723,1.67
memmove,micron,3,0,0,hot,0,1.7314,1.61
memmove,libc,3,0,0,hot,0,1.2729,2.19
memset0,micron,3,0,0,hot,0,1.0002,2.79
memset0,libc,3,0,0,hot,0,1.4997,1.86
memset5A,micron,3,0,0,hot,0,1.5004,1.86
memcpy,micron,4,0,0,hot,0,1.1994,2.33
memcpy,libc,4,0,0,hot,0,1.1257,2.48
memcpy,raw32,4,0,0,hot,0,1.2055,2.32
memmove,micron,4,0,0,hot,0,1.2711,2.20
memmove,libc,4,0,0,hot,0,1.1296,2.47
memset0,micron,4,0,0,hot,0,0.7556,3.70
memset0,libc,4,0,0,hot,0,1.1317,2.47
memset5A,micron,4,0,0,hot,0,1.5006,1.86
memcpy,micron,5,0,0,hot,0,0.9373,2.98
memcpy,libc,5,0,0,hot,0,0.8923,3.13
memcpy,raw32,5,0,0,hot,0,0.9342,2.99
memmove,micron,5,0,0,hot,0,1.0081,2.77
memmove,libc,5,0,0,hot,0,0.9085,3.08
memset0,micron,5,0,0,hot,0,0.6058,4.61
memset0,libc,5,0,0,hot,0,0.9128,3.06
memset5A,micron,5,0,0,hot,0,1.2240,2.28
memcpy,micron,6,0,0,hot,0,0.7805,3.58
memcpy,libc,6,0,0,hot,0,0.7572,3.69
memcpy,raw32,6,0,0,hot,0,0.7795,3.58
memmove,micron,6,0,0,hot,0,0.8398,3.33
memmove,libc,6,0,0,hot,0,0.7571,3.69
memset0,micron,6,0,0,hot,0,0.5049,5.53
memset0,libc,6,0,0,hot,0,0.7513,3.72
memset5A,micron,6,0,0,hot,0,1.0062,2.78
memcpy,micron,7,0,0,hot,0,0.6730,4.15
memcpy,libc,7,0,0,hot,0,0.6435,4.34
memcpy,raw32,7,0,0,hot,0,0.6635,4.21
memmove,micron,7,0,0,hot,0,0.7291,3.83
memmove,libc,7,0,0,hot,0,0.6880,4.06
memset0,micron,7,0,0,hot,0,0.4462,6.26
memset0,libc,7,0,0,hot,0,0.6523,4.28
memset5A,micron,7,0,0,hot,0,0.8342,3.35
memcpy,micron,8,0,0,hot,0,0.5579,5.01
memcpy,libc,8,0,0,hot,0,0.4751,5.88
memcpy,raw32,8,0,0,hot,0,0.6033,4.63
memmove,micron,8,0,0,hot,0,0.6114,4.57
memmove,libc,8,0,0,hot,0,0.4687,5.96
memset0,micron,8,0,0,hot,0,0.2926,9.54
memset0,libc,8,0,0,hot,0,0.5640,4.95
memset5A,micron,8,0,0,hot,0,0.4676,5.98
memcpy,micron,9,0,0,hot,0,0.5197,5.38
memcpy,libc,9,0,0,hot,0,0.4168,6.70
memcpy,raw32,9,0,0,hot,0,0.5093,5.49
memmove,micron,9,0,0,hot,0,0.5411,5.16
memmove,libc,9,0,0,hot,0,0.4167,6.70
memset0,micron,9,0,0,hot,0,0.2984,9.35
memset0,libc,9,0,0,hot,0,0.5014,5.57
memset5A,micron,9,0,0,hot,0,0.4167,6.70
memcpy,micron,10,0,0,hot,0,0.4577,6.11
memcpy,libc,10,0,0,hot,0,0.3750,7.45
memcpy,raw32,10,0,0,hot,0,0.4582,6.10
memmove,micron,10,0,0,hot,0,0.5016,5.57
memmove,libc,10,0,0,hot,0,0.3752,7.45
memset0,micron,10,0,0,hot,0,0.2240,12.47
memset0,libc,10,0,0,hot,0,0.4512,6.19
memset5A,micron,10,0,0,hot,0,0.3750,7.45
memcpy,micron,11,0,0,hot,0,0.4163,6.71
