# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,2.8971,0.00
memcpy,libc,0,0,0,hot,0,4.5151,0.00
memcpy,raw32,0,0,0,hot,0,1.5601,0.00
memmove,micron,0,0,0,hot,0,1.5925,0.00
memmove,libc,0,0,0,hot,0,4.5245,0.00
memset0,micron,0,0,0,hot,0,0.8422,0.00
memset0,libc,0,0,0,hot,0,7.4570,0.00
memset5A,micron,0,0,0,hot,0,1.4994,0.00
memcpy,micron,1,0,0,hot,0,3.8190,0.73
memcpy,libc,1,0,0,hot,0,4.5104,0.62
memcpy,raw32,1,0,0,hot,0,3.7616,0.74
memmove,micron,1,0,0,hot,0,3.9366,0.71
memmove,libc,1,0,0,hot,0,4.5157,0.62
memset0,micron,1,0,0,hot,0,3.0317,0.92
memset0,libc,1,0,0,hot,0,3.3351,0.84
memset5A,micron,1,0,0,hot,0,4.6115,0.61
memcpy,micron,2,0,0,hot,0,2.6137,1.07
memcpy,libc,2,0,0,hot,0,1.9961,1.40
memcpy,raw32,2,0,0,hot,0,2.8775,0.97
memmove,micron,2,0,0,hot,0,2.7144,1.03
memmove,libc,2,0,0,hot,0,2.0887,1.34
memset0,micron,2,0,0,hot,0,2.9443,0.95
memset0,libc,2,0,0,hot,0,2.2493,1.24
memset5A,micron,2,0,0,hot,0,2.2570,1.24
memcpy,micron,3,0,0,hot,0,1.6774,1.67
memcpy,libc,3,0,0,hot,0,1.2886,2.17
memcpy,raw32,3,0,0,hot,0,1.6567,1.69
memmove,micron,3,0,0,hot,0,1.1218,2.50
memmove,libc,3,0,0,hot,0,0.2700,10.41
memset0,micron,3,0,0,hot,0,2.6954,1.04
memset0,libc,3,0,0,hot,0,2.9967,0.93
memset5A,micron,3,0,0,hot,0,1.0878,2.57
memcpy,micron,4,0,0,hot,0,1.8066,1.55
memcpy,libc,4,0,0,hot,0,1.1357,2.46
memcpy,raw32,4,0,0,hot,0,0.5709,4.90
memmove,micron,4,0,0,hot,0,1.2576,2.22
memmove,libc,4,0,0,hot,0,1.1253,2.48
memset0,micron,4,0,0,hot,0,0.7630,3.66
memset0,libc,4,0,0,hot,0,1.1417,2.45
memset5A,micron,4,0,0,hot,0,0.4072,6.89
memcpy,micron,5,0,0,hot,0,0.9389,2.97
memcpy,libc,5,0,0,hot,0,0.8945,3.12
memcpy,raw32,5,0,0,hot,0,0.9409,2.97
memmove,micron,5,0,0,hot,0,1.0148,2.75
memmove,libc,5,0,0,hot,0,0.8993,3.11
memset0,micron,5,0,0,hot,0,0.6058,4.61
memset0,libc,5,0,0,hot,0,0.6874,4.07
memset5A,micron,5,0,0,hot,0,1.0564,2.64
memcpy,micron,6,0,0,hot,0,0.7955,3.51
memcpy,libc,6,0,0,hot,0,0.7573,3.69
memcpy,raw32,6,0,0,hot,0,0.7799,3.58
memmove,micron,6,0,0,hot,0,0.8385,3.33
memmove,libc,6,0,0,hot,0,0.7570,3.69
memset0,micron,6,0,0,hot,0,0.5060,5.52
memset0,libc,6,0,0,hot,0,0.7521,3.71
memset5A,micron,6,0,0,hot,0,0.8804,3.17
memcpy,micron,7,0,0,hot,0,0.6691,4.17
memcpy,libc,7,0,0,hot,0,0.6479,4.31
memcpy,raw32,7,0,0,hot,0,1.3418,2.08
memmove,micron,7,0,0,hot,0,0.7177,3.89
memmove,libc,7,0,0,hot,0,0.6433,4.35
memset0,micron,7,0,0,hot,0,0.4379,6.38
memset0,libc,7,0,0,hot,0,0.6478,4.31
memset5A,micron,7,0,0,hot,0,0.7570,3.69
memcpy,micron,8,0,0,hot,0,0.5958,4.69
memcpy,libc,8,0,0,hot,0,0.4761,5.87
memcpy,raw32,8,0,0,hot,0,0.5963,4.69
memmove,micron,8,0,0,hot,0,0.6011,4.65
memmove,libc,8,0,0,hot,0,1.1841,2.36
memset0,micron,8,0,0,hot,0,0.3300,8.46
memset0,libc,8,0,0,hot,0,0.5737,4.87
memset5A,micron,8,0,0,hot,0,0.4992,5.59
memcpy,micron,9,0,0,hot,0,0.8888,3.14
memcpy,libc,9,0,0,hot,0,0.4168,6.70
memcpy,raw32,9,0,0,hot,0,0.5091,5.49
memmove,micron,9,0,0,hot,0,0.7834,3.56
memmove,libc,9,0,0,hot,0,0.0000,0.00
memset0,micron,9,0,0,hot,0,0.2502,11.17
memset0,libc,9,0,0,hot,0,1.0386,2.69
memset5A,micron,9,0,0,hot,0,0.6778,4.12
memcpy,micron,10,0,0,hot,0,0.0000,0.00
memcpy,libc,10,0,0,hot,0,0.3752,7.45
memcpy,raw32,10,0,0,hot,0,0.4582,6.10
memmove,micron,10,0,0,hot,0,1.1320,2.47
memmove,libc,10,0,0,hot,0,0.3751,7.45
memset0,micron,10,0,0,hot,0,0.2255,12.39
memset0,libc,10,0,0,hot,0,0.4507,6.19
memset5A,micron,10,0,0,hot,0,0.3722,7.51
memcpy,micron,11,0,0,hot,0,0.8124,3.43
memcpy,libc,11,0,0,hot,0,0.4117,6.78
memcpy,raw32,11,0,0,hot,0,0.4167,6.71
memmove,micron,11,0,0,hot,0,0.4318,6.47
memmove,libc,11,0,0,hot,0,0.3483,8.02
memset0,micron,11,0,0,hot,0,0.0083,323.58
memset0,libc,11,0,0,hot,0,0.4093,6.83
memset5A,micron,11,0,0,hot,0,0.3412,8.18
memcpy,micron,12,0,0,hot,0,0.3821,7.31
memcpy,libc,12,0,0,hot,0,0.3125,8.94
memcpy,raw32,12,0,0,hot,0,0.3807,7.34
memmove,micron,12,0,0,hot,0,0.3991,7.00
memmove,libc,12,0,0,hot,0,0.3126,8.94
memset0,micron,12,0,0,hot,0,0.1878,14.88
memset0,libc,12,0,0,hot,0,0.3745,7.46
memset5A,micron,12,0,0,hot,0,0.3127,8.93
memcpy,micron,13,0,0,hot,0,0.3523,7.93
memcpy,libc,13,0,0,hot,0,0.2885,9.68
memcpy,raw32,13,0,0,hot,0,0.3522,7.93
memmove,micron,13,0,0,hot,0,0.3686,7.58
memmove,libc,13,0,0,hot,0,0.2886,9.68
memset0,micron,13,0,0,hot,0,0.1729,16.16
memset0,libc,13,0,0,hot,0,0.3462,8.07
memset5A,micron,13,0,0,hot,0,0.5766,4.85
memcpy,micron,14,0,0,hot,0,0.3272,8.54
memcpy,libc,14,0,0,hot,0,0.2679,10.43
memcpy,raw32,14,0,0,hot,0,0.3272,8.54
memmove,micron,14,0,0,hot,0,0.3411,8.19
memmove,libc,14,0,0,hot,0,0.2679,10.43
memset0,micron,14,0,0,hot,0,0.1608,17.37
memset0,libc,14,0,0,hot,0,0.3214,8.69
memset5A,micron,14,0,0,hot,0,0.2679,10.43
memcpy,micron,15,0,0,hot,0,0.3051,9.16
memcpy,libc,15,0,0,hot,0,0.2500,11.17
memcpy,raw32,15,0,0,hot,0,0.3053,9.15
memmove,micron,15,0,0,hot,0,0.3181,8.78
memmove,libc,15,0,0,hot,0,0.2510,11.12
memset0,micron,15,0,0,hot,0,0.1513,18.45
memset0,libc,15,0,0,hot,0,0.3001,9.31
memset5A,micron,15,0,0,hot,0,0.2500,11.17
memcpy,micron,16,0,0,hot,0,0.2380,11.74
memcpy,libc,16,0,0,hot,0,0.2345,11.91
memcpy,raw32,16,0,0,hot,0,0.2384,11.72
memmove,micron,16,0,0,hot,0,0.2575,10.84
memmove,libc,16,0,0,hot,0,0.2347,11.90
memset0,micron,16,0,0,hot,0,0.1409,19.84
memset0,libc,16,0,0,hot,0,0.2813,9.93
memset5A,micron,16,0,0,hot,0,0.2344,11.92
memcpy,micron,17,0,0,hot,0,0.2590,10.79
memcpy,libc,17,0,0,hot,0,0.2207,12.66
memcpy,raw32,17,0,0,hot,0,0.2593,10.78
memmove,micron,17,0,0,hot,0,0.2735,10.22
memmove,libc,17,0,0,hot,0,0.2205,12.67
memset0,micron,17,0,0,hot,0,0.3059,9.16
memset0,libc,17,0,0,hot,0,0.0391,71.90
memset5A,micron,17,0,0,hot,0,0.3088,9.05
memcpy,micron,18,0,0,hot,0,0.2444,11.42
memcpy,libc,18,0,0,hot,0,0.2083,13.41
memcpy,raw32,18,0,0,hot,0,0.2448,11.42
memmove,micron,18,0,0,hot,0,0.2584,10.81
memmove,libc,18,0,0,hot,0,0.5433,5.14
memset0,micron,18,0,0,hot,0,0.0000,0.00
memset0,libc,18,0,0,hot,0,0.2713,10.29
memset5A,micron,18,0,0,hot,0,0.2084,13.41
memcpy,micron,19,0,0,hot,0,0.2318,12.06
memcpy,libc,19,0,0,hot,0,0.1973,14.16
memcpy,raw32,19,0,0,hot,0,0.2313,12.08
memmove,micron,19,0,0,hot,0,0.2441,11.44
memmove,libc,19,0,0,hot,0,0.5021,5.56
memset0,micron,19,0,0,hot,0,0.1205,23.07
memset0,libc,19,0,0,hot,0,0.2368,11.80
memset5A,micron,19,0,0,hot,0,0.2763,10.11
memcpy,micron,20,0,0,hot,0,0.2198,12.71
memcpy,libc,20,0,0,hot,0,0.1876,14.89
memcpy,raw32,20,0,0,hot,0,0.2198,12.71
memmove,micron,20,0,0,hot,0,0.2327,12.00
memmove,libc,20,0,0,hot,0,0.1875,14.90
memset0,micron,20,0,0,hot,0,0.1133,24.67
memset0,libc,20,0,0,hot,0,0.2251,12.41
memset5A,micron,20,0,0,hot,0,0.2625,10.64
memcpy,micron,21,0,0,hot,0,0.2145,13.02
memcpy,libc,21,0,0,hot,0,0.1786,15.64
memcpy,raw32,21,0,0,hot,0,0.2095,13.34
memmove,micron,21,0,0,hot,0,0.2209,12.65
memmove,libc,21,0,0,hot,0,0.1785,15.65
memset0,micron,21,0,0,hot,0,0.1077,25.87
memset0,libc,21,0,0,hot,0,0.2147,13.02
memset5A,micron,21,0,0,hot,0,0.2217,12.58
memcpy,micron,22,0,0,hot,0,0.4281,6.51
memcpy,libc,22,0,0,hot,0,0.2505,11.11
memcpy,raw32,22,0,0,hot,0,0.3055,9.19
memmove,micron,22,0,0,hot,0,0.2109,13.24
memmove,libc,22,0,0,hot,0,0.1705,16.38
memset0,micron,22,0,0,hot,0,0.1023,27.32
memset0,libc,22,0,0,hot,0,0.2046,13.66
memset5A,micron,22,0,0,hot,0,0.2386,11.71
memcpy,micron,23,0,0,hot,0,0.1912,14.61
memcpy,libc,23,0,0,hot,0,0.1631,17.13
memcpy,raw32,23,0,0,hot,0,0.1912,14.61
memmove,micron,23,0,0,hot,0,0.2018,13.85
memmove,libc,23,0,0,hot,0,0.1631,17.13
memset0,micron,23,0,0,hot,0,0.0982,28.47
memset0,libc,23,0,0,hot,0,0.1957,14.28
memset5A,micron,23,0,0,hot,0,0.2283,12.24
memcpy,micron,24,0,0,hot,0,0.1835,15.23
memcpy,libc,24,0,0,hot,0,0.1562,17.88
memcpy,raw32,24,0,0,hot,0,0.1831,15.26
memmove,micron,24,0,0,hot,0,0.1933,14.45
memmove,libc,24,0,0,hot,0,0.1563,17.88
memset0,micron,24,0,0,hot,0,0.1129,24.74
memset0,libc,24,0,0,hot,0,0.1875,14.90
memset5A,micron,24,0,0,hot,0,0.1563,17.88
memcpy,micron,25,0,0,hot,0,0.1763,15.85
memcpy,libc,25,0,0,hot,0,0.1501,18.62
memcpy,raw32,25,0,0,hot,0,0.1759,15.88
memmove,micron,25,0,0,hot,0,0.1853,15.07
memmove,libc,25,0,0,hot,0,0.1499,18.64
memset0,micron,25,0,0,hot,0,0.0900,31.05
memset0,libc,25,0,0,hot,0,0.1801,15.52
memset5A,micron,25,0,0,hot,0,0.1500,18.62
memcpy,micron,26,0,0,hot,0,0.1694,16.50
memcpy,libc,26,0,0,hot,0,0.1442,19.37
memcpy,raw32,26,0,0,hot,0,0.1693,16.50
memmove,micron,26,0,0,hot,0,0.1790,15.61
memmove,libc,26,0,0,hot,0,0.1443,19.37
memset0,micron,26,0,0,hot,0,0.0866,32.28
memset0,libc,26,0,0,hot,0,0.1731,16.14
memset5A,micron,26,0,0,hot,0,0.2019,13.84
memcpy,micron,27,0,0,hot,0,0.1632,17.12
memcpy,libc,27,0,0,hot,0,0.0476,95.40
memcpy,raw32,27,0,0,hot,0,0.1629,17.15
memmove,micron,27,0,0,hot,0,0.1721,16.23
memmove,libc,27,0,0,hot,0,0.1793,15.56
memset0,micron,27,0,0,hot,0,0.2070,13.50
memset0,libc,27,0,0,hot,0,0.1602,17.42
memset5A,micron,27,0,0,hot,0,0.1945,14.37
memcpy,micron,28,0,0,hot,0,0.1572,17.78
memcpy,libc,28,0,0,hot,0,0.1340,20.85
memcpy,raw32,28,0,0,hot,0,0.1568,17.82
memmove,micron,28,0,0,hot,0,0.1660,16.83
memmove,libc,28,0,0,hot,0,0.1340,20.85
memset0,micron,28,0,0,hot,0,0.0807,34.63
memset0,libc,28,0,0,hot,0,0.1607,17.38
memset5A,micron,28,0,0,hot,0,0.1874,14.91
memcpy,micron,29,0,0,hot,0,0.2354,11.85
memcpy,libc,29,0,0,hot,0,0.1782,15.65
memcpy,raw32,29,0,0,hot,0,0.0639,43.92
memmove,micron,29,0,0,hot,0,0.1606,17.40
memmove,libc,29,0,0,hot,0,0.1293,21.60
memset0,micron,29,0,0,hot,0,0.0777,35.99
memset0,libc,29,0,0,hot,0,0.1552,18.00
memset5A,micron,29,0,0,hot,0,0.1810,15.43
memcpy,micron,30,0,0,hot,0,0.1467,19.05
memcpy,libc,30,0,0,hot,0,0.1250,22.34
memcpy,raw32,30,0,0,hot,0,0.1467,19.05
memmove,micron,30,0,0,hot,0,0.1550,18.02
memmove,libc,30,0,0,hot,0,0.1250,22.35
memset0,micron,30,0,0,hot,0,0.1703,16.49
memset0,libc,30,0,0,hot,0,0.1730,16.11
memset5A,micron,30,0,0,hot,0,0.2073,13.50
memcpy,micron,31,0,0,hot,0,0.2068,13.51
memcpy,libc,31,0,0,hot,0,0.2230,12.60
memcpy,raw32,31,0,0,hot,0,0.0552,51.34
memmove,micron,31,0,0,hot,0,0.1499,18.63
memmove,libc,31,0,0,hot,0,0.1210,23.08
memset0,micron,31,0,0,hot,0,0.0732,38.17
memset0,libc,31,0,0,hot,0,0.1452,19.24
memset5A,micron,31,0,0,hot,0,0.1694,16.51
memcpy,micron,32,0,0,hot,0,0.1125,24.83
memcpy,libc,32,0,0,hot,0,0.1200,23.27
memcpy,raw32,32,0,0,hot,0,0.1173,23.82
memmove,micron,32,0,0,hot,0,0.1200,23.28
memmove,libc,32,0,0,hot,0,0.1202,23.24
memset0,micron,32,0,0,hot,0,0.0703,39.80
memset0,libc,32,0,0,hot,0,0.1171,23.85
memset5A,micron,32,0,0,hot,0,0.1641,17.03
memcpy,micron,33,0,0,hot,0,0.1417,19.71
memcpy,libc,33,0,0,hot,0,0.1100,25.39
memcpy,raw32,33,0,0,hot,0,0.1416,19.74
memmove,micron,33,0,0,hot,0,0.1482,18.81
memmove,libc,33,0,0,hot,0,0.1104,25.30
memset0,micron,33,0,0,hot,0,0.0683,40.90
memset0,libc,33,0,0,hot,0,0.1137,24.57
memset5A,micron,33,0,0,hot,0,0.1134,24.63
memcpy,micron,34,0,0,hot,0,0.0000,0.00
memcpy,libc,34,0,0,hot,0,0.1070,26.11
