# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,micron,0,0,0,hot,0,2.9374,0.00
memcpy,libc,0,0,0,hot,0,5.0145,0.00
memcpy,raw32,0,0,0,hot,0,1.8982,0.00
memmove,micron,0,0,0,hot,0,1.7225,0.00
memmove,libc,0,0,0,hot,0,4.3703,0.00
memset0,micron,0,0,0,hot,0,1.4129,0.00
memset0,libc,0,0,0,hot,0,6.6712,0.00
memset5A,micron,0,0,0,hot,0,1.5335,0.00
memcpy,micron,1,0,0,hot,0,3.7675,0.74
memcpy,libc,1,0,0,hot,0,5.9204,0.47
memcpy,raw32,1,0,0,hot,0,3.8405,0.73
memmove,micron,1,0,0,hot,0,4.4861,0.62
memmove,libc,1,0,0,hot,0,4.2986,0.65
memset0,micron,1,0,0,hot,0,3.1051,0.90
memset0,libc,1,0,0,hot,0,3.2019,0.87
memset5A,micron,1,0,0,hot,0,4.7596,0.59
memcpy,micron,2,0,0,hot,0,2.8173,0.99
memcpy,libc,2,0,0,hot,0,2.0608,1.36
memcpy,raw32,2,0,0,hot,0,2.5398,1.10
memmove,micron,2,0,0,hot,0,3.1700,0.88
memmove,libc,2,0,0,hot,0,2.3610,1.18
memset0,micron,2,0,0,hot,0,1.2277,2.28
memset0,libc,2,0,0,hot,0,2.3454,1.19
memset5A,micron,2,0,0,hot,0,2.2734,1.23
memcpy,micron,3,0,0,hot,0,1.7821,1.57
memcpy,libc,3,0,0,hot,0,2.5521,1.09
memcpy,raw32,3,0,0,hot,0,1.7741,1.57
memmove,micron,3,0,0,hot,0,2.2025,1.27
memmove,libc,3,0,0,hot,0,2.0827,1.34
memset0,micron,3,0,0,hot,0,1.0683,2.62
memset0,libc,3,0,0,hot,0,1.4998,1.86
memset5A,micron,3,0,0,hot,0,1.5003,1.86
memcpy,micron,4,0,0,hot,0,1.3642,2.05
memcpy,libc,4,0,0,hot,0,1.1294,2.47
memcpy,raw32,4,0,0,hot,0,0.3221,8.73
memmove,micron,4,0,0,hot,0,1.4028,1.99
memmove,libc,4,0,0,hot,0,0.8015,3.49
memset0,micron,4,0,0,hot,0,0.7694,3.63
memset0,libc,4,0,0,hot,0,0.9775,2.86
memset5A,micron,4,0,0,hot,0,1.5705,1.78
memcpy,micron,5,0,0,hot,0,1.0076,2.77
memcpy,libc,5,0,0,hot,0,0.9067,3.08
memcpy,raw32,5,0,0,hot,0,1.0154,2.75
memmove,micron,5,0,0,hot,0,1.0926,2.56
memmove,libc,5,0,0,hot,0,0.9666,2.89
memset0,micron,5,0,0,hot,0,0.0000,0.00
memset0,libc,5,0,0,hot,0,0.9154,3.05
memset5A,micron,5,0,0,hot,0,0.1766,15.97
memcpy,micron,6,0,0,hot,0,0.8435,3.31
memcpy,libc,6,0,0,hot,0,1.0983,2.54
memcpy,raw32,6,0,0,hot,0,0.8454,3.30
memmove,micron,6,0,0,hot,0,0.9119,3.07
memmove,libc,6,0,0,hot,0,0.7837,3.57
memset0,micron,6,0,0,hot,0,0.5131,5.45
memset0,libc,6,0,0,hot,0,0.7817,3.57
memset5A,micron,6,0,0,hot,0,0.1103,25.45
memcpy,micron,7,0,0,hot,0,0.8561,3.26
memcpy,libc,7,0,0,hot,0,0.6475,4.31
memcpy,raw32,7,0,0,hot,0,0.6708,4.17
memmove,micron,7,0,0,hot,0,0.7766,3.60
