# bench=memory_random
# batch=16384 k=5 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy_rand,micron,32768,-1,-1,rand,-1,0.2928,9.54
memcpy_rand,libc,32768,-1,-1,rand,-1,0.2532,11.03
memset_rand,micron,32768,-1,-1,rand,-1,0.2813,9.93
memset_rand,libc,32768,-1,-1,rand,-1,0.2208,12.65
memmove_rand,micron,32768,-1,-1,rand,-1,0.3486,8.01
memmove_rand,libc,32768,-1,-1,rand,-1,0.2572,10.86
memcpy_rand,micron,65536,-1,-1,rand,-1,0.2927,9.54
memcpy_rand,libc,65536,-1,-1,rand,-1,0.2678,10.43
memset_rand,micron,65536,-1,-1,rand,-1,0.2820,9.91
memset_rand,libc,65536,-1,-1,rand,-1,0.2209,12.65
memmove_rand,micron,65536,-1,-1,rand,-1,0.3374,8.28
memmove_rand,libc,65536,-1,-1,rand,-1,0.2641,10.58
memcpy_rand,micron,131072,-1,-1,rand,-1,0.3108,8.99
memcpy_rand,libc,131072,-1,-1,rand,-1,0.3734,7.48
memset_rand,micron,131072,-1,-1,rand,-1,0.2893,9.65
memset_rand,libc,131072,-1,-1,rand,-1,0.2688,10.39
memmove_rand,micron,131072,-1,-1,rand,-1,0.3525,7.93
memmove_rand,libc,131072,-1,-1,rand,-1,0.3196,8.74
memcpy_rand,micron,262144,-1,-1,rand,-1,0.3268,8.55
memcpy_rand,libc,262144,-1,-1,rand,-1,0.4445,6.28
memset_rand,micron,262144,-1,-1,rand,-1,0.2940,9.50
memset_rand,libc,262144,-1,-1,rand,-1,0.3649,7.66
memmove_rand,micron,262144,-1,-1,rand,-1,0.3672,7.61
memmove_rand,libc,262144,-1,-1,rand,-1,0.3743,7.46
memcpy_rand,micron,524288,-1,-1,rand,-1,0.3238,8.63
memcpy_rand,libc,524288,-1,-1,rand,-1,0.4454,6.27
memset_rand,micron,524288,-1,-1,rand,-1,0.2817,9.92
memset_rand,libc,524288,-1,-1,rand,-1,0.3934,7.10
memmove_rand,micron,524288,-1,-1,rand,-1,0.3586,7.79
memmove_rand,libc,524288,-1,-1,rand,-1,0.3847,7.26
memcpy_rand,micron,1048576,-1,-1,rand,-1,0.3378,8.27
memcpy_rand,libc,1048576,-1,-1,rand,-1,0.4916,5.68
memset_rand,micron,1048576,-1,-1,rand,-1,0.2870,9.73
memset_rand,libc,1048576,-1,-1,rand,-1,0.4500,6.21
memmove_rand,micron,1048576,-1,-1,rand,-1,0.3835,7.28
memmove_rand,libc,1048576,-1,-1,rand,-1,0.4182,6.68
