# bench=memory_random
# batch=16384 k=5 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy_rand,micron,32768,-1,-1,rand,-1,0.1987,14.06
memcpy_rand,libc,32768,-1,-1,rand,-1,0.2490,11.22
memset_rand,micron,32768,-1,-1,rand,-1,0.1863,15.00
memset_rand,libc,32768,-1,-1,rand,-1,0.2197,12.71
memmove_rand,micron,32768,-1,-1,rand,-1,0.2134,13.09
memmove_rand,libc,32768,-1,-1,rand,-1,0.2513,11.12
memcpy_rand,micron,65536,-1,-1,rand,-1,0.2025,13.80
memcpy_rand,libc,65536,-1,-1,rand,-1,0.2497,11.19
memset_rand,micron,65536,-1,-1,rand,-1,0.1871,14.93
memset_rand,libc,65536,-1,-1,rand,-1,0.2155,12.97
memmove_rand,micron,65536,-1,-1,rand,-1,0.2142,13.04
memmove_rand,libc,65536,-1,-1,rand,-1,0.2538,11.01
memcpy_rand,micron,131072,-1,-1,rand,-1,0.2224,12.56
memcpy_rand,libc,131072,-1,-1,rand,-1,0.2712,10.30
memset_rand,micron,131072,-1,-1,rand,-1,0.1876,14.89
memset_rand,libc,131072,-1,-1,rand,-1,0.2202,12.69
memmove_rand,micron,131072,-1,-1,rand,-1,0.2294,12.18
memmove_rand,libc,131072,-1,-1,rand,-1,0.2658,10.51
memcpy_rand,micron,262144,-1,-1,rand,-1,0.2548,10.96
memcpy_rand,libc,262144,-1,-1,rand,-1,0.3621,7.72
memset_rand,micron,262144,-1,-1,rand,-1,0.1948,14.34
memset_rand,libc,262144,-1,-1,rand,-1,0.2477,11.28
memmove_rand,micron,262144,-1,-1,rand,-1,0.2660,10.50
memmove_rand,libc,262144,-1,-1,rand,-1,0.3169,8.82
memcpy_rand,micron,524288,-1,-1,rand,-1,0.2857,9.78
memcpy_rand,libc,524288,-1,-1,rand,-1,0.4353,6.42
memset_rand,micron,524288,-1,-1,rand,-1,0.2223,12.57
memset_rand,libc,524288,-1,-1,rand,-1,0.3742,7.47
memmove_rand,micron,524288,-1,-1,rand,-1,0.2936,9.52
memmove_rand,libc,524288,-1,-1,rand,-1,0.3719,7.51
memcpy_rand,micron,1048576,-1,-1,rand,-1,0.3003,9.30
memcpy_rand,libc,1048576,-1,-1,rand,-1,0.4795,5.83
memset_rand,micron,1048576,-1,-1,rand,-1,0.2292,12.19
memset_rand,libc,1048576,-1,-1,rand,-1,0.4393,6.36
memmove_rand,micron,1048576,-1,-1,rand,-1,0.3090,9.04
memmove_rand,libc,1048576,-1,-1,rand,-1,0.4099,6.82
