# bench=memory_random
# batch=16384 k=5 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy_rand,micron,32768,-1,-1,rand,-1,0.2343,11.92
memcpy_rand,libc,32768,-1,-1,rand,-1,0.2525,11.06
memset_rand,micron,32768,-1,-1,rand,-1,0.1849,15.11
memset_rand,libc,32768,-1,-1,rand,-1,0.2192,12.74
memmove_rand,micron,32768,-1,-1,rand,-1,0.2070,13.49
memmove_rand,libc,32768,-1,-1,rand,-1,0.2502,11.17
memcpy_rand,micron,65536,-1,-1,rand,-1,0.1989,14.05
memcpy_rand,libc,65536,-1,-1,rand,-1,0.2532,11.03
memset_rand,micron,65536,-1,-1,rand,-1,0.1872,14.93
memset_rand,libc,65536,-1,-1,rand,-1,0.2181,12.81
memmove_rand,micron,65536,-1,-1,rand,-1,0.2106,13.27
memmove_rand,libc,65536,-1,-1,rand,-1,0.2496,11.19
memcpy_rand,micron,131072,-1,-1,rand,-1,0.2168,12.89
memcpy_rand,libc,131072,-1,-1,rand,-1,0.2766,10.10
memset_rand,micron,131072,-1,-1,rand,-1,0.1877,14.88
memset_rand,libc,131072,-1,-1,rand,-1,0.2231,12.52
memmove_rand,micron,131072,-1,-1,rand,-1,0.2267,12.32
memmove_rand,libc,131072,-1,-1,rand,-1,0.2664,10.49
memcpy_rand,micron,262144,-1,-1,rand,-1,0.2568,10.88
memcpy_rand,libc,262144,-1,-1,rand,-1,0.3945,7.08
memset_rand,micron,262144,-1,-1,rand,-1,0.1997,13.99
memset_rand,libc,262144,-1,-1,rand,-1,0.2639,10.59
memmove_rand,micron,262144,-1,-1,rand,-1,0.2737,10.21
memmove_rand,libc,262144,-1,-1,rand,-1,0.3206,8.71
memcpy_rand,micron,524288,-1,-1,rand,-1,0.3067,9.11
memcpy_rand,libc,524288,-1,-1,rand,-1,0.4381,6.38
memset_rand,micron,524288,-1,-1,rand,-1,0.2167,12.89
memset_rand,libc,524288,-1,-1,rand,-1,0.3714,7.52
memmove_rand,micron,524288,-1,-1,rand,-1,0.2905,9.62
memmove_rand,libc,524288,-1,-1,rand,-1,0.3736,7.48
memcpy_rand,micron,1048576,-1,-1,rand,-1,0.2985,9.36
memcpy_rand,libc,1048576,-1,-1,rand,-1,0.4810,5.81
memset_rand,micron,1048576,-1,-1,rand,-1,0.2318,12.05
memset_rand,libc,1048576,-1,-1,rand,-1,0.4493,6.22
memmove_rand,micron,1048576,-1,-1,rand,-1,0.3086,9.05
memmove_rand,libc,1048576,-1,-1,rand,-1,0.4095,6.82
