# bench=memory_random
# batch=16384 k=5 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy_rand,micron,32768,-1,-1,rand,-1,0.1965,14.22
memcpy_rand,libc,32768,-1,-1,rand,-1,0.2513,11.12
memset_rand,micron,32768,-1,-1,rand,-1,0.1849,15.11
memset_rand,libc,32768,-1,-1,rand,-1,0.2188,12.77
memmove_rand,micron,32768,-1,-1,rand,-1,0.2072,13.48
memmove_rand,libc,32768,-1,-1,rand,-1,0.2496,11.19
memcpy_rand,micron,65536,-1,-1,rand,-1,0.2004,13.94
memcpy_rand,libc,65536,-1,-1,rand,-1,0.2509,11.13
memset_rand,micron,65536,-1,-1,rand,-1,0.1859,15.02
memset_rand,libc,65536,-1,-1,rand,-1,0.2162,12.92
memmove_rand,micron,65536,-1,-1,rand,-1,0.2102,13.29
memmove_rand,libc,65536,-1,-1,rand,-1,0.2586,10.80
memcpy_rand,micron,131072,-1,-1,rand,-1,0.2247,12.43
memcpy_rand,libc,131072,-1,-1,rand,-1,0.2961,9.43
memset_rand,micron,131072,-1,-1,rand,-1,0.2036,13.72
memset_rand,libc,131072,-1,-1,rand,-1,0.2398,11.65
memmove_rand,micron,131072,-1,-1,rand,-1,0.2249,12.42
memmove_rand,libc,131072,-1,-1,rand,-1,0.2978,9.38
memcpy_rand,micron,262144,-1,-1,rand,-1,0.2610,10.70
memcpy_rand,libc,262144,-1,-1,rand,-1,0.3838,7.28
memset_rand,micron,262144,-1,-1,rand,-1,0.2162,12.92
memset_rand,libc,262144,-1,-1,rand,-1,0.2515,11.11
memmove_rand,micron,262144,-1,-1,rand,-1,0.2629,10.63
memmove_rand,libc,262144,-1,-1,rand,-1,0.3323,8.41
memcpy_rand,micron,524288,-1,-1,rand,-1,0.2921,9.56
memcpy_rand,libc,524288,-1,-1,rand,-1,0.4497,6.21
memset_rand,micron,524288,-1,-1,rand,-1,0.2170,12.88
memset_rand,libc,524288,-1,-1,rand,-1,0.3819,7.31
memmove_rand,micron,524288,-1,-1,rand,-1,0.2945,9.49
memmove_rand,libc,524288,-1,-1,rand,-1,0.3850,7.26
memcpy_rand,micron,1048576,-1,-1,rand,-1,0.2999,9.31
memcpy_rand,libc,1048576,-1,-1,rand,-1,0.4867,5.74
memset_rand,micron,1048576,-1,-1,rand,-1,0.2306,12.11
memset_rand,libc,1048576,-1,-1,rand,-1,0.4496,6.21
memmove_rand,micron,1048576,-1,-1,rand,-1,0.3098,9.02
memmove_rand,libc,1048576,-1,-1,rand,-1,0.4138,6.75
