# bench=memory_random
# batch=16384 k=5 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy_rand,micron,32768,-1,-1,rand,-1,0.2012,13.88
memcpy_rand,libc,32768,-1,-1,rand,-1,0.2658,10.51
memset_rand,micron,32768,-1,-1,rand,-1,0.1849,15.11
memset_rand,libc,32768,-1,-1,rand,-1,0.2197,12.71
memmove_rand,micron,32768,-1,-1,rand,-1,0.2086,13.39
memmove_rand,libc,32768,-1,-1,rand,-1,0.2503,11.16
memcpy_rand,micron,65536,-1,-1,rand,-1,0.2036,13.72
memcpy_rand,libc,65536,-1,-1,rand,-1,0.2555,10.93
memset_rand,micron,65536,-1,-1,rand,-1,0.1875,14.90
memset_rand,libc,65536,-1,-1,rand,-1,0.2160,12.93
memmove_rand,micron,65536,-1,-1,rand,-1,0.2112,13.23
memmove_rand,libc,65536,-1,-1,rand,-1,0.2500,11.17
memcpy_rand,micron,131072,-1,-1,rand,-1,0.2240,12.47
memcpy_rand,libc,131072,-1,-1,rand,-1,0.3373,8.28
memset_rand,micron,131072,-1,-1,rand,-1,0.1987,14.06
memset_rand,libc,131072,-1,-1,rand,-1,0.2477,11.28
memmove_rand,micron,131072,-1,-1,rand,-1,0.2301,12.14
memmove_rand,libc,131072,-1,-1,rand,-1,0.2716,10.29
memcpy_rand,micron,262144,-1,-1,rand,-1,0.2603,10.73
memcpy_rand,libc,262144,-1,-1,rand,-1,0.3751,7.45
memset_rand,micron,262144,-1,-1,rand,-1,0.2381,11.73
memset_rand,libc,262144,-1,-1,rand,-1,0.2793,10.00
memmove_rand,micron,262144,-1,-1,rand,-1,0.2670,10.46
memmove_rand,libc,262144,-1,-1,rand,-1,0.3193,8.75
memcpy_rand,micron,524288,-1,-1,rand,-1,0.2856,9.78
memcpy_rand,libc,524288,-1,-1,rand,-1,0.4416,6.33
memset_rand,micron,524288,-1,-1,rand,-1,0.2345,11.91
memset_rand,libc,524288,-1,-1,rand,-1,0.3763,7.42
memmove_rand,micron,524288,-1,-1,rand,-1,0.2925,9.55
memmove_rand,libc,524288,-1,-1,rand,-1,0.3752,7.45
memcpy_rand,micron,1048576,-1,-1,rand,-1,0.3044,9.18
memcpy_rand,libc,1048576,-1,-1,rand,-1,0.5003,5.58
memset_rand,micron,1048576,-1,-1,rand,-1,0.2468,11.32
memset_rand,libc,1048576,-1,-1,rand,-1,0.4522,6.18
memmove_rand,micron,1048576,-1,-1,rand,-1,0.3136,8.91
memmove_rand,libc,1048576,-1,-1,rand,-1,0.4180,6.68
