# bench=memory_random
# batch=16384 k=5 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy_rand,micron,32768,-1,-1,rand,-1,0.1953,14.30
memcpy_rand,libc,32768,-1,-1,rand,-1,0.2541,10.99
memset_rand,micron,32768,-1,-1,rand,-1,0.1946,14.36
memset_rand,libc,32768,-1,-1,rand,-1,0.2183,12.80
memmove_rand,micron,32768,-1,-1,rand,-1,0.2082,13.42
memmove_rand,libc,32768,-1,-1,rand,-1,0.2486,11.24
memcpy_rand,micron,65536,-1,-1,rand,-1,0.2004,13.94
memcpy_rand,libc,65536,-1,-1,rand,-1,0.2520,11.08
memset_rand,micron,65536,-1,-1,rand,-1,0.1956,14.28
memset_rand,libc,65536,-1,-1,rand,-1,0.2172,12.86
memmove_rand,micron,65536,-1,-1,rand,-1,0.2099,13.31
memmove_rand,libc,65536,-1,-1,rand,-1,0.2485,11.24
memcpy_rand,micron,131072,-1,-1,rand,-1,0.2158,12.95
memcpy_rand,libc,131072,-1,-1,rand,-1,0.2752,10.15
memset_rand,micron,131072,-1,-1,rand,-1,0.1939,14.40
memset_rand,libc,131072,-1,-1,rand,-1,0.2240,12.47
memmove_rand,micron,131072,-1,-1,rand,-1,0.2250,12.42
memmove_rand,libc,131072,-1,-1,rand,-1,0.2646,10.56
memcpy_rand,micron,262144,-1,-1,rand,-1,0.2580,10.83
memcpy_rand,libc,262144,-1,-1,rand,-1,0.3702,7.55
memset_rand,micron,262144,-1,-1,rand,-1,0.2102,13.29
memset_rand,libc,262144,-1,-1,rand,-1,0.2607,10.72
memmove_rand,micron,262144,-1,-1,rand,-1,0.2610,10.70
memmove_rand,libc,262144,-1,-1,rand,-1,0.3178,8.79
memcpy_rand,micron,524288,-1,-1,rand,-1,0.2843,9.83
memcpy_rand,libc,524288,-1,-1,rand,-1,0.4389,6.36
memset_rand,micron,524288,-1,-1,rand,-1,0.2817,9.92
memset_rand,libc,524288,-1,-1,rand,-1,0.3699,7.55
memmove_rand,micron,524288,-1,-1,rand,-1,0.3081,9.07
memmove_rand,libc,524288,-1,-1,rand,-1,0.3767,7.42
memcpy_rand,micron,1048576,-1,-1,rand,-1,0.3024,9.24
memcpy_rand,libc,1048576,-1,-1,rand,-1,0.4848,5.76
memset_rand,micron,1048576,-1,-1,rand,-1,0.2359,11.84
memset_rand,libc,1048576,-1,-1,rand,-1,0.4493,6.22
memmove_rand,micron,1048576,-1,-1,rand,-1,0.3123,8.95
memmove_rand,libc,1048576,-1,-1,rand,-1,0.4221,6.62
