# bench=memory_random
# batch=16384 k=5 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy_rand,micron,32768,-1,-1,rand,-1,0.2803,9.97
memcpy_rand,libc,32768,-1,-1,rand,-1,0.3480,8.03
memset_rand,micron,32768,-1,-1,rand,-1,0.1936,14.43
memset_rand,libc,32768,-1,-1,rand,-1,0.2190,12.76
memmove_rand,micron,32768,-1,-1,rand,-1,0.2305,12.12
memmove_rand,libc,32768,-1,-1,rand,-1,0.2537,11.01
memcpy_rand,micron,65536,-1,-1,rand,-1,0.1971,14.17
memcpy_rand,libc,65536,-1,-1,rand,-1,0.2682,10.42
memset_rand,micron,65536,-1,-1,rand,-1,0.2011,13.89
memset_rand,libc,65536,-1,-1,rand,-1,0.2230,12.53
memmove_rand,micron,65536,-1,-1,rand,-1,0.2117,13.20
memmove_rand,libc,65536,-1,-1,rand,-1,0.2514,11.11
memcpy_rand,micron,131072,-1,-1,rand,-1,0.2167,12.89
memcpy_rand,libc,131072,-1,-1,rand,-1,0.2661,10.50
memset_rand,micron,131072,-1,-1,rand,-1,0.1935,14.44
memset_rand,libc,131072,-1,-1,rand,-1,0.2317,12.06
memmove_rand,micron,131072,-1,-1,rand,-1,0.2519,11.09
memmove_rand,libc,131072,-1,-1,rand,-1,0.2679,10.43
memcpy_rand,micron,262144,-1,-1,rand,-1,0.2590,10.79
memcpy_rand,libc,262144,-1,-1,rand,-1,0.3815,7.32
memset_rand,micron,262144,-1,-1,rand,-1,0.2000,13.97
memset_rand,libc,262144,-1,-1,rand,-1,0.2434,11.47
memmove_rand,micron,262144,-1,-1,rand,-1,0.2629,10.63
memmove_rand,libc,262144,-1,-1,rand,-1,0.3293,8.48
memcpy_rand,micron,524288,-1,-1,rand,-1,0.2916,9.58
memcpy_rand,libc,524288,-1,-1,rand,-1,0.4467,6.25
memset_rand,micron,524288,-1,-1,rand,-1,0.2219,12.59
memset_rand,libc,524288,-1,-1,rand,-1,0.3801,7.35
memmove_rand,micron,524288,-1,-1,rand,-1,0.2964,9.43
memmove_rand,libc,524288,-1,-1,rand,-1,0.3834,7.29
memcpy_rand,micron,1048576,-1,-1,rand,-1,0.3045,9.17
memcpy_rand,libc,1048576,-1,-1,rand,-1,0.4829,5.79
memset_rand,micron,1048576,-1,-1,rand,-1,0.2377,11.75
memset_rand,libc,1048576,-1,-1,rand,-1,0.4532,6.16
memmove_rand,micron,1048576,-1,-1,rand,-1,0.3236,8.63
memmove_rand,libc,1048576,-1,-1,rand,-1,0.4231,6.60
