# rng_bench row medians from 5 interleaved captures: 2026-08-26, CPU 7, native ISA
# host: Intel Core i7-5960X; source commit: b3991c31263e
# flags: --perf --fp --no-ssp --no-lto
group,name,cycles_x1000,instructions_x1000,ipc_x1000,branches_x1000,branch_miss_pct_x1000
engine_scalar,splitmix64,4247,5940,1399,63,97
engine_stream4,splitmix64,4172,5690,1364,63,97
engine_bulk,splitmix64,8245,15607,1893,201,121
engine_scalar,xoshiro256ss,5656,12502,2210,125,49
engine_stream4,xoshiro256ss,7823,15005,1918,250,24
engine_bulk,xoshiro256ss,18586,23757,1278,251,97
engine_scalar,xoshiro128ss,5566,12502,2246,250,24
engine_stream4,xoshiro128ss,7935,14505,1828,250,73
engine_bulk,xoshiro128ss,16597,23757,1431,251,97
engine_scalar,pcg64,11172,17878,1600,125,49
engine_bulk,pcg64,11227,17810,1586,201,121
engine_scalar,mt19937,21003,44542,2121,3036,111
engine_stream4,mt19937,16289,32744,2010,2284,59
engine_bulk,mt19937,20767,45502,2191,3036,129
engine_scalar,mwc64,5747,12377,2154,125,146
engine_stream4,mwc64,7238,13754,1900,250,24
engine_bulk,mwc64,10030,16758,1671,251,97
engine_scalar,lcg64,4168,3252,780,125,49
engine_stream4,lcg64,1530,3102,2028,50,121
engine_bulk,lcg64,9487,5382,567,126,193
sampler,uniform_f32,9856,16762,1701,251,97
sampler,uniform_f64,7900,15512,1964,251,97
sampler,uniform_u8_197,7998,19011,2377,2001,12
sampler,uniform_u16_60001,8379,19011,2269,2001,12
sampler,uniform_u32_pow2,6694,13510,2018,251,97
sampler,uniform_u32_1e9,11839,19030,1603,2074,3701
sampler,uniform_u64_1e12,7209,17010,2360,2001,12
sampler,bernoulli_half,10400,19011,1828,251,97
sampler,bernoulli_rare,10643,19011,1786,251,97
sampler,normal_polar,179127,152303,848,16926,4426
sampler,normal_ziggurat,37439,60717,1605,3118,935
sampler,exponential,102138,98248,962,11663,3947
sampler,poisson_3,159007,193229,1213,24013,4239
sampler,poisson_40,195061,161229,827,17693,4254
sampler,poisson_1000,194642,161040,827,17680,4164
fill,uniform_f32,8610,16011,1860,251,292
fill,uniform_f64,8375,16011,1912,251,97
fill,uniform_i32,8677,20014,2307,2001,24
fill,bytes,906,1585,1750,26,935
fill,normal_f32,26983,42636,1573,2395,1160
fill,normal_f64,23391,40615,1731,2392,1196
sampler,gamma_a0_5,362642,376948,1038,50229,1891
sampler,gamma_a2,473699,216565,457,22236,4292
sampler,gamma_a20,468454,213166,455,21901,4440
sampler,beta,777735,481187,620,48970,3865
sampler,chi2,468327,214665,460,22084,4333
sampler,student_t,674310,390927,580,42761,4029
sampler,f,802373,481809,600,48946,3872
sampler,lognormal,283776,247925,875,35722,2761
sampler,weibull,316813,311318,983,51354,2373
sampler,cauchy,98226,119013,1212,11251,4450
sampler,geometric_p0_5,199404,225668,1131,37416,1215
sampler,geometric_p0_01,234012,223738,956,37412,2530
sampler,binomial_n16,281862,241603,857,41391,2390
sampler,binomial_n100,243246,213302,877,25690,2875
sampler,binomial_n10000,243591,212729,876,25680,2815
sampler,negative_binomial,710702,524656,738,54113,3568
sampler,dirichlet_k3,461253,289786,629,35453,2696
sampler,dirichlet_k16,484478,263216,543,29409,3517
helper,shuffle_256,18230,29039,1593,2012,194
sampler,choice_256,7719,15010,1944,251,97
hardware,rdrand64,331598,6508,20,1501,33
