# rng_bench row medians from 5 interleaved captures: 2026-08-26, CPU 7, x86-64 SSE2 floor
# host: Intel Core i7-5960X; source commit: b3991c31263e
# flags: --perf --fp --no-ssp --no-lto
group,name,cycles_x1000,instructions_x1000,ipc_x1000,branches_x1000,branch_miss_pct_x1000
engine_scalar,splitmix64,4152,14127,3403,125,49
engine_stream4,splitmix64,3775,14254,3776,250,24
engine_bulk,splitmix64,6836,15607,2283,201,121
engine_scalar,xoshiro256ss,5637,12502,2218,125,49
engine_stream4,xoshiro256ss,8186,15005,1833,250,24
engine_bulk,xoshiro256ss,12405,21757,1754,251,292
engine_scalar,xoshiro128ss,5668,12502,2206,250,24
engine_stream4,xoshiro128ss,7507,15005,1999,250,49
engine_bulk,xoshiro128ss,12335,21757,1764,251,97
engine_scalar,pcg64,11305,17252,1526,125,49
engine_bulk,pcg64,11495,17009,1480,201,364
engine_scalar,mt19937,26139,56837,2174,3201,103
engine_stream4,mt19937,26360,55072,2089,2444,102
engine_bulk,mt19937,26265,57568,2196,3198,114
engine_scalar,mwc64,5756,12377,2150,125,49
engine_stream4,mwc64,6793,13754,2025,250,24
engine_bulk,mwc64,10216,16758,1640,251,97
engine_scalar,lcg64,4082,3252,797,125,49
engine_stream4,lcg64,1506,3102,2060,50,121
engine_bulk,lcg64,9574,5382,562,126,193
sampler,uniform_f32,9957,18761,1884,251,97
sampler,uniform_f64,8333,17261,2071,251,97
sampler,uniform_u8_197,7770,19010,2447,2001,12
sampler,uniform_u16_60001,7980,19010,2382,2001,12
sampler,uniform_u32_pow2,5973,13509,2262,251,97
sampler,uniform_u32_1e9,9777,19028,1956,2074,3696
sampler,uniform_u64_1e12,8543,17009,1991,2001,12
sampler,bernoulli_half,10146,19510,1923,251,97
sampler,bernoulli_rare,10019,19510,1947,251,97
sampler,normal_polar,194728,221941,1139,36926,2037
sampler,normal_ziggurat,31798,53711,1681,3495,1108
sampler,exponential,121021,157996,1306,31663,1455
sampler,poisson_3,183854,244240,1331,45013,2307
sampler,poisson_40,212821,231891,1090,37693,1984
sampler,poisson_1000,211913,231672,1093,37680,1936
fill,uniform_f32,8900,16760,1883,251,292
fill,uniform_f64,8749,16760,1916,251,97
fill,uniform_i32,8096,20014,2472,2001,24
fill,bytes,918,1584,1726,26,935
fill,normal_f32,25299,43522,1719,2760,1311
fill,normal_f64,22608,41507,1827,2759,1369
sampler,gamma_a0_5,376138,453837,1208,73153,1312
sampler,gamma_a2,275646,302116,1095,45893,2104
sampler,gamma_a20,270507,297617,1102,45207,2026
sampler,beta,588765,640313,1088,95293,1992
sampler,chi2,276060,299986,1086,46144,2018
sampler,student_t,529551,540720,1021,86238,1996
sampler,f,605867,642273,1061,95787,2016
sampler,lognormal,316746,368535,1163,76722,1264
sampler,weibull,440820,522566,1185,119354,1014
sampler,cauchy,143854,199264,1385,41251,1220
sampler,geometric_p0_5,254060,360667,1420,77416,568
sampler,geometric_p0_01,287720,358738,1247,77412,1222
sampler,binomial_n16,281796,258071,916,41391,2406
sampler,binomial_n100,259132,280979,1084,45690,1647
sampler,binomial_n10000,258144,280308,1086,45680,1597
sampler,negative_binomial,545747,673291,1236,98540,2008
sampler,dirichlet_k3,331342,380224,1147,59298,1617
sampler,dirichlet_k16,321400,360697,1122,55760,1896
helper,shuffle_256,17164,31023,1807,3008,130
sampler,choice_256,7095,15010,2116,251,97
