# rng_bench row medians from 5 interleaved captures: 2026-08-26, CPU 7, native ISA
# host: Intel Core i7-5960X; base commit: b3991c31263e + working-tree RNG patch
# flags: --perf --fp --no-ssp --no-lto
group,name,cycles_x1000,instructions_x1000,ipc_x1000,branches_x1000,branch_miss_pct_x1000
engine_scalar,splitmix64,4238,5940,1402,63,292
engine_stream4,splitmix64,4173,5690,1363,63,97
engine_bulk,splitmix64,4394,6010,1368,126,193
engine_scalar,xoshiro256ss,5850,12502,2137,125,49
engine_stream4,xoshiro256ss,7650,15005,1962,250,49
engine_bulk,xoshiro256ss,6205,13260,2137,251,97
engine_scalar,xoshiro128ss,5977,12502,2092,250,24
engine_stream4,xoshiro128ss,7855,14505,1847,250,24
engine_bulk,xoshiro128ss,6293,12510,1988,251,97
engine_scalar,pcg64,11003,17878,1625,125,49
engine_stream4,pcg64,11265,18755,1665,250,73
engine_bulk,pcg64,13569,20018,1475,251,97
engine_scalar,mt19937,10638,23247,2185,2019,97
engine_stream4,mt19937,5743,11349,1943,1270,48
engine_bulk,mt19937,2216,3033,1358,66,1838
engine_scalar,mwc64,5760,12377,2149,125,49
engine_stream4,mwc64,7169,13754,1918,250,24
engine_bulk,mwc64,6146,12759,2076,251,97
engine_scalar,lcg64,4177,3252,779,125,49
engine_stream4,lcg64,1538,3102,2017,50,121
engine_bulk,lcg64,2215,3853,1739,32,752
sampler,uniform_f32,9088,16762,1844,251,97
sampler,uniform_f64,8469,15512,1832,251,97
sampler,uniform_u8_197,8366,20011,2392,2001,12
sampler,uniform_u16_60001,8384,20011,2387,2001,12
sampler,uniform_u32_pow2,6857,13510,1970,251,97
sampler,uniform_u32_1e9,12486,19033,1515,2074,3696
sampler,uniform_u64_1e12,7252,17010,2346,2001,12
sampler,bernoulli_half,7405,14510,1959,251,97
sampler,bernoulli_rare,10433,19011,1822,251,97
sampler,normal_default,30343,49348,1624,2059,1259
sampler,normal_ziggurat,30359,49361,1622,2061,1196
sampler,exponential,94293,94759,1005,10667,4321
sampler,poisson_3,164886,193382,1173,24020,4220
sampler,poisson_40,321278,328181,1018,40921,3049
sampler,poisson_1000,229098,237334,1033,28282,2450
fill,uniform_f32,7343,13511,1840,251,97
fill,uniform_f64,7996,15761,1971,251,97
fill,uniform_i32,9127,20014,2193,2001,24
fill,bytes,926,1585,1711,26,935
fill,normal_f32,27650,43554,1591,1622,1762
fill,normal_f64,25979,41525,1611,1617,1790
sampler,gamma_a0_5,148081,208494,1408,29416,778
sampler,gamma_a2,74517,100115,1334,8052,2549
sampler,gamma_a20,73641,99266,1346,8066,2279
sampler,beta,243368,353251,1449,32014,1199
sampler,chi2,74646,99507,1333,8078,2306
sampler,student_t,181526,244088,1341,22125,944
sampler,f,236448,350063,1481,31046,1193
sampler,lognormal,101102,138459,1372,20330,1292
sampler,weibull,312680,303574,971,50352,2389
sampler,cauchy,98416,120012,1220,11251,4429
sampler,geometric_p0_5,21047,37011,1759,5002,5
sampler,geometric_p0_01,164475,137761,837,21417,4459
sampler,binomial_n16,40469,71009,1755,10001,5
sampler,binomial_n100,40281,78009,1937,10001,5
sampler,binomial_n10000,286779,247682,865,34154,6533
sampler,poisson_cached_3,33268,53011,1593,2001,24
sampler,poisson_cached_40,272651,285500,1045,32058,4006
sampler,poisson_cached_1000,178228,194177,1083,20038,3409
sampler,negative_binomial,424486,496780,1176,55763,3194
sampler,dirichlet_k3,114420,175784,1535,19686,1140
sampler,dirichlet_k16,106456,154673,1452,15622,1853
helper,shuffle_256,18219,29039,1594,2012,388
sampler,choice_256,8077,15010,1858,251,97
hardware,rdrand64,329502,6508,20,1501,33
