# rng_bench row medians from 5 interleaved captures: 2026-08-26, CPU 7, x86-64 SSE2 floor
# host: Intel Core i7-5960X; base commit: b3991c31263e + working-tree RNG patch
# flags: --perf --fp --no-ssp --no-lto
group,name,cycles_x1000,instructions_x1000,ipc_x1000,branches_x1000,branch_miss_pct_x1000
engine_scalar,splitmix64,6857,14127,2060,125,97
engine_stream4,splitmix64,6523,14254,2185,250,24
engine_bulk,splitmix64,6042,13635,2257,126,193
engine_scalar,xoshiro256ss,5507,12502,2270,125,146
engine_stream4,xoshiro256ss,7857,15005,1910,250,73
engine_bulk,xoshiro256ss,6144,13260,2158,251,97
engine_scalar,xoshiro128ss,5732,12502,2181,250,24
engine_stream4,xoshiro128ss,7880,15005,1904,250,24
engine_bulk,xoshiro128ss,6536,13260,2029,251,97
engine_scalar,pcg64,11273,17252,1530,125,97
engine_stream4,pcg64,10735,18504,1724,250,73
engine_bulk,pcg64,11670,17519,1501,251,97
engine_scalar,mt19937,12844,29364,2286,2129,86
engine_stream4,mt19937,13267,28351,2061,1356,85
engine_bulk,mt19937,6111,12117,1955,179,898
engine_scalar,mwc64,5720,12377,2164,125,49
engine_stream4,mwc64,7555,13754,1820,250,24
engine_bulk,mwc64,6223,12759,2050,251,97
engine_scalar,lcg64,4088,3252,795,125,49
engine_stream4,lcg64,1578,3102,1966,50,121
engine_bulk,lcg64,2106,3853,1829,32,1504
sampler,uniform_f32,10014,18761,1873,251,97
sampler,uniform_f64,9145,17261,1888,251,97
sampler,uniform_u8_197,8293,20009,2413,2001,24
sampler,uniform_u16_60001,7850,20009,2549,2001,12
sampler,uniform_u32_pow2,6030,13509,2240,251,97
sampler,uniform_u32_1e9,10754,19031,1765,2074,3649
sampler,uniform_u64_1e12,8364,17009,2034,2001,12
sampler,bernoulli_half,7011,14509,2069,251,97
sampler,bernoulli_rare,10253,19510,1903,251,97
sampler,normal_default,24457,40987,1697,1856,1858
sampler,normal_ziggurat,24641,40982,1650,1852,1987
sampler,exponential,118781,154760,1303,30667,1503
sampler,poisson_3,185267,245400,1321,45020,2308
sampler,poisson_40,444772,558905,1265,108161,1165
sampler,poisson_1000,309516,392051,1264,73135,945
fill,uniform_f32,8094,17260,2132,251,97
fill,uniform_f64,8630,17260,2000,251,97
fill,uniform_i32,8130,20014,2462,2001,37
fill,bytes,985,1584,1608,26,935
fill,normal_f32,25507,42951,1680,1987,1938
fill,normal_f64,23843,41954,1760,1986,2015
sampler,gamma_a0_5,156962,237157,1517,33219,711
sampler,gamma_a2,83905,120442,1422,11741,1805
sampler,gamma_a20,82871,119500,1444,11796,1651
sampler,beta,229071,349422,1526,39395,1041
sampler,chi2,84042,119623,1414,11770,1696
sampler,student_t,170051,236853,1394,25946,871
sampler,f,224169,344950,1533,38358,1009
sampler,lognormal,124740,189680,1529,41615,650
sampler,weibull,424135,519325,1224,118352,1014
sampler,cauchy,142790,201512,1411,41251,1220
sampler,geometric_p0_5,17153,36011,2099,5002,5
sampler,geometric_p0_01,171385,201761,1177,41417,2304
sampler,binomial_n16,41252,81008,1964,9001,3
sampler,binomial_n100,84168,134008,1592,15001,7
sampler,binomial_n10000,312720,280398,894,41735,5345
sampler,poisson_cached_3,42599,83016,1949,2001,37
sampler,poisson_cached_40,371959,451223,1205,79497,1643
sampler,poisson_cached_1000,239509,281849,1192,44393,1578
sampler,negative_binomial,484926,606554,1259,95214,1914
sampler,dirichlet_k3,122344,194552,1588,23433,1099
sampler,dirichlet_k16,126712,184292,1458,22308,1356
helper,shuffle_256,18703,31023,1659,3008,130
sampler,choice_256,7939,15010,1891,251,97
